,production_companies
1756,Universal Pictures
1757,"Fox 2000 Pictures,Phoenix Pictures,Rocking Chair Productions"
1758,"The Weinstein Company,FilmEngine,Capitol Films,Ascendant Pictures,VIP Medienfonds 4,The Complex Studio"
1759,"Warner Bros.,The Ladd Company"
1760,"Columbia Pictures,Centropolis Entertainment"
1761,"Producers Sales Organization,Bavaria Film,Dieter Geissler Filmproduktion,Warner Bros.,Westdeutscher Rundfunk (WDR),Bavaria Studios"
1762,"New Line Cinema,Mystery Clock Cinema"
1763,"BIM Distribuzione,BBC Films,Paramount Vantage,Qwerty Films,Pathé,Magnolia Mae Films"
1764,"Silver Screen Partners II,Oz Productions Ltd."
1765,"Twentieth Century Fox Film Corporation,Detour Filmproduction"
1766,"Paramount Vantage,Anonymous Content,Misher Films,Case 39 Productions"
1767,"Paramount Pictures,Cruise/Wagner Productions,Lakeshore Entertainment,Intermedia Films"
1768,New Line Cinema
1769,Dimension Films
1770,"TriStar Pictures,Sony Pictures Releasing,Smokehouse Pictures,LStar Capital,Allegiance Theater"
1771,"Film Council,Alliance Atlantis Communications,The Film Consortium,Focus Films,Momentum Films,National Lottery,Canadian Film or Video Production Tax Credit (CPTC),Artists Production Group (APG),Fifty First Films"
1772,Metro-Goldwyn-Mayer (MGM)
1773,"Avenue Pictures Productions,Weed Road Pictures,Intermedia Films,Egmond Film & Television,Dimension Films,Outlaw Productions (I),Mindhunters (UK) Limited,Mindhunters Productie BV,Tonna Oy,Outlaw Victoria Productions Inc."
1774,"2929 Productions,Linson Entertainment,Art Linson Productions,Tribeca Productions"
1775,"Sony Pictures Classics,BBC Films,Serendipity Point Films,Téléfilm Canada,Odessa Films,Movision,Astral Media,Corus Entertainment,Company Pictures"
1776,Walt deFaria
1777,"Columbia Pictures,Happy Madison Productions,Relativity Media,Hey Eddie"
1778,"Walt Disney Pictures,Gunn Films,Casual Friday Productions"
1779,"Universal Pictures,Apatow Productions"
1780,"Miramax Films,Universal Pictures,Bedford Falls Productions"
1781,"Double Feature Films,Jersey Films,1984 Private Defense Contractors,Cross Creek Pictures,Exclusive Media Group,Traveling Picture Show Company (TPSC),Free State Pictures,Da Vinci Media Ventures"
1782,"Imagine Entertainment,Universal Pictures"
1783,"Columbia Pictures,Apatow Productions"
1784,Twentieth Century Fox Film Corporation
1785,"Tig Productions,Touchstone Pictures,Beacon Pictures,Cobalt Media Group"
1786,"Columbia Pictures Corporation,Stonebridge Entertainment"
1787,"United Artists,Joseph E. Levine Productions"
1788,"DreamWorks SKG,Craven-Maddalena Films,BenderSpink"
1789,"New Line Cinema,Zide-Perry Productions"
1790,"Universal Pictures,Mike Zoss Productions,Studio Canal,Touchstone Pictures,Working Title Films"
1791,Bold Films
1792,"Paramount Pictures,De Line Pictures"
1793,Depth of Field
1794,"Paramount Pictures,Nickelodeon Movies,Valhalla Motion Pictures"
1795,Columbia Pictures
1796,"Lionsgate,Relativity Media,Sighvatsson Films,Michael De Luca Productions,Palomar Pictures (II)"
1797,"Splendid Pictures,Maverick Films,Metro-Goldwyn-Mayer (MGM),Dylan Sellers Productions,Madacy Entertainment"
1798,New Line Cinema
1799,Metro-Goldwyn-Mayer (MGM)
1800,Relativity Media
1801,"Twentieth Century Fox Film Corporation,Intermedia Films,Mediastream Vierte Film GmbH & Co. Vermarktungs KG,Mooseport Productions"
1802,"Trans-Film,Initial Groupe,Lumière Pictures,Fallingcloud"
1803,"Fox Searchlight Pictures,Marmont Productions,Blood & Wine Productions,Majestic Films International"
1804,"Interscope Communications,Polygram Filmed Entertainment"
1805,"DreamWorks SKG,Gravier Productions"
1806,K. JAM Media
1807,"Universal Pictures,The Bubble Factory,American Films"
1808,"Endgame Entertainment,Ram Bergman Productions"
1809,"Studio Babelsberg,Epsilon Motion Pictures,UK Film Council,Scion Films,Focus Features,Blue Sky Films,Potboiler Productions"
1810,"Icon Productions,Twentieth Century Fox Film Corporation"
1811,"Twentieth Century Fox Film Corporation,Blue Wolf"
1812,"United Artists,Star Partners II Ltd."
1813,"Village Roadshow Pictures,Malpaso Productions,Gerber Pictures,Warner Bros.,Double Nickel Entertainment,Matten Productions,WV Films IV"
1814,"Ixtlan Productions,Emperor Motion Pictures,Global Entertainment Group"
1815,"Twentieth Century Fox Film Corporation,M6 Films,Canal+,TPS Star,Grive Productions,EuropaCorp,M6,Wintergreen Productions,All Pictures Media"
1816,Relativity Media
1817,"Tig Productions,Warner Bros.,Kasdan Pictures"
1818,"Universal Pictures,Amblin Entertainment"
1819,"DreamWorks SKG,1492 Pictures,Participant Productions,Imagenation Abu Dhabi FZ,Reliance Entertainment,Touchstone Pictures"
1820,"DreamWorks SKG,Participant Media,Reliance Entertainment,Touchstone Pictures,Anonymous Content"
1821,"Mosaic Media Group,Warner Bros."
1822,"Universal Pictures,Ankor-Film"
1823,"New Line Cinema,Cecchi Gori Group Tiger Cinematografica,Avery Pix,Sean S. Cunningham Films,Crystal Lake Entertainment,WTC Productions,Yannix Technology Corporation"
1824,"Revolution Films,BBC Films,Cattleya,Vedette Finance,Multitrade,Ypsilon Films"
1825,"Nickelodeon Movies,Universal Cartoon Studios,Paramount Animation"
1826,"Paramount Pictures,Bad Robot"
1827,"New Line Cinema,Golden Harvest Company"
1828,Paramount Pictures
1829,"Miramax Films,Scott Rudin Productions,Paramount Vantage,Mike Zoss Productions"
1830,"Universal Pictures,Rainforest Films,Cube Vision,Relativity Media"
1831,"Miramax Films,Universal Pictures,Studio Canal,Working Title Films,Little Bird"
1832,"Miramax Films,David Brown Productions,Fat Free"
1833,"Type A Films,Marc Platt Productions,Metro-Goldwyn-Mayer (MGM)"
1834,"Twentieth Century Fox Film Corporation,Dune Entertainment,Dune Entertainment III,Chernin Entertainment,Walden Media,Face Productions"
1835,"Katalyst Films,The Montecito Picture Company,Handsomecharlie Films"
1836,"Hollywood Pictures,Cinergi Pictures Entertainment"
1837,"Silver Pictures,Warner Bros."
1838,"Twentieth Century Fox Film Corporation,Mace Neufeld Productions"
1839,"New Line Cinema,Zide-Perry Productions,Kumar Mobiliengesellschaft mbH & Co. Projekt Nr. 1 KG,Hard Eight Pictures,Matinee Pictures,Practical Pictures"
1840,"Village Roadshow Pictures,DiNovi Pictures,Warner Bros.,Langley Park Production"
1841,"Walden Media,Hal Lieberman Company,Lauren Levine Productions Inc."
1842,"Miramax Films,Film Colony"
1843,Lions Gate
1844,"Scott Free Productions,1984 Private Defense Contractors,LD Entertainment,Open Road Films,Inferno Distribution,Chambara Pictures"
1845,"Twentieth Century Fox Film Corporation,Fox 2000 Pictures,Josephson Entertainment,MBC Beteiligungs Filmproduktion"
1846,Apatow Productions
1847,Winkler Films
1848,"Splendid Pictures,Maverick Films,Metro-Goldwyn-Mayer (MGM),Dylan Sellers Productions,Madacy Entertainment"
1849,"Universal Pictures,Three Strange Angels,Studio Canal,Metro-Goldwyn-Mayer (MGM),Working Title Films,Nanny McPhee Productions"
1850,Universal Pictures
1851,Touchstone Pictures
1852,"Columbia Pictures,Hemdale Film Corporation,Recorded Pictures Company,Soprofilms,TAO Film,Yanco"
1853,"Universal Pictures,StudioCanal,Relativity Media,Leverage Management,Closest to the Hole Productions,Farraday Films,Leverage Entertainment,Working Title Films,Blueeyes Productions"
1854,New Line Cinema
1855,"Miramax Films,Ghoulardi Film Company,Paramount Vantage"
1856,"Paramount Pictures,Nickelodeon Movies,Paramount Animation"
1857,"Nickelodeon Movies,Paramount Animation"
1858,Universal Pictures
1859,"DiNovi Pictures,Alcon Entertainment,Alloy Entertainment"
1860,"Twentieth Century Fox Film Corporation,Current Entertainment,Immortal Entertainment,Canal+,EuropaCorp,Quality Growth International Ltd."
1861,"Columbia Pictures,Happy Madison Productions,Relativity Media,Alta Loma Entertainment"
1862,Metro-Goldwyn-Mayer (MGM)
1863,Walt Disney Pictures
1864,"The Weinstein Company,Walden Media,Tonik Productions,Asis Productions"
1865,"DiNovi Pictures,Gerber Pictures,Gaylord Films,Warner Bros.,Sloane Square Films,HSI Tomorrow Film"
1866,"United Artists,American Zoetrope,Myriad Pictures,Jeepers Creepers II"
1867,"Lionsgate,Karz Entertainment"
1868,"Silver Pictures,Warner Bros."
1869,"Paramount Pictures,Miramax Films,Scott Rudin Productions"
1870,"DreamWorks SKG,Lakeshore Entertainment"
1871,"Tiger Aspect Productions,Working Title Films"
1872,"Screen Gems,Middle Fork Productions"
1873,"Wild Bunch,LGM Productions,Les Productions du Trésor,Mars Distribution,Canal+,France Télévision,Worldview Entertainment,Ciné+,M6,France 3 Cinema,Caneo Films,Grisbi Productions,France 4,W9,Chi-Fou-Mi Productions,Treasure Company"
1874,"Warner Bros.,CJ Entertainment,Southpaw Entertainment"
1875,"Channel Four Films,PolyGram Filmed Entertainment,Working Title Films"
1876,"Universal Pictures,Midwinter Productions Inc."
1877,Twentieth Century Fox Film Corporation
1878,Columbia Pictures Corporation
1879,"Twentieth Century Fox Film Corporation,Michael De Luca Productions,Rough House Pictures"
1880,"Paramount Pictures,MTV Films,Wayans Bros. Entertainment"
1881,Castle Rock Entertainment
1882,"Bungalow Productions,Silver Lion Films,Vision View Entertainment"
1883,"Motion Picture Corporation of America,Metro-Goldwyn-Mayer (MGM)"
1884,"Paramount Pictures,Closest to the Hole Productions,Leverage Entertainment,Chartoff-Winkler Productions"
1885,"Jean Doumanian Productions,Smokehouse Pictures"
1886,"Walt Disney Pictures,Bridget Johnson Films,Skate Away Productions"
1887,"Mile High Productions,Kevin Messick Productions,Touchstone Pictures,Beacon Pictures"
1888,"Studio Babelsberg,Twentieth Century Fox Film Corporation,Marv Films,Saville Productions"
1889,"40 Acres & A Mule Filmworks,Touchstone Pictures"
1890,"New Line Cinema,American Zoetrope"
1891,Screen Gems
1892,"DC Comics,Weed Road Pictures,Dark Castle Entertainment,Warner Bros.,DC Entertainment"
1893,"Miramax Films,Gran Via Productions,FilmDistrict,Necropia,Tequila Gang"
1894,"Mosaic Media Group,Current Entertainment,Lionsgate,Fierce Entertainment,Province of British Columbia Production Services Tax Credit,Rogue Films"
1895,"Columbia Pictures,New Line Cinema,Ghoulardi Film Company"
1896,"DreamWorks SKG,The Montecito Picture Company,Blue Sea Productions"
1897,"Franchise Pictures,Screen Gems"
1898,
1899,"United Artists,Mirage Enterprises,CST Telecommunications,Star Partners"
1900,"New Line Cinema,The Kushner-Locke Company,Savoy Pictures"
1901,Walt Disney Pictures
1902,"Media Rights Capital,Lin Pictures,Warner Bros.,Darko Entertainment,Radar Pictures"
1903,"Spyglass Entertainment,Pacific Film and Television Commission,DreamWorks Pictures,Red Hour Films,Internationale Filmproduktion Prometheus"
1904,"Paramount Pictures,Lakeshore Entertainment"
1905,"Relativity Media,Rogue"
1906,"Regency Enterprises,Epsilon Motion Pictures,New Regency Pictures,Daybreak"
1907,Columbia Pictures
1908,"Columbia Pictures,Imagine Entertainment,Revolution Studios"
1909,"Working Title Films,Cross Creek Pictures,Anton Capital Entertainment (ACE)"
1910,Paramount Pictures
1911,Incentive Filmed Entertainment
1912,"Paramount Pictures,Universal Pictures"
1913,"Summit Entertainment,Lionsgate"
1914,"TriStar Pictures,Golan-Globus,Easedram"
1915,"Wildwood Enterprises,American Film Company"
1916,"Columbia Pictures,TriStar Pictures"
1917,"Alcon Entertainment,Phoenix Pictures,Fabula,Half Circle"
1918,"Twentieth Century Fox Film Corporation,TAFT Entertainment Pictures"
1919,"TF1 Films Production,Quad Productions"
1920,"Solaris Film,Lionsgate,Mimran Schur Pictures,Filmtribe"
1921,"Geffen Pictures,Warner Bros."
1922,"TriStar Television,Esparza / Katz Productions"
1923,"Paramount Pictures,Scott Rudin Productions,MTV Films,Peirce Pictures"
1924,"Paramount Pictures,Spyglass Entertainment,Touchstone Pictures"
1925,"Twentieth Century Fox Film Corporation,Fox 2000 Pictures,Adam Fields Productions,Two Girls Productions"
1926,"Ghost House Pictures,North Box Productions"
1927,TriStar Pictures
1928,Battleplan Productions
1929,"Miramax Films,The Mark Gordon Company,Yari Film Group,Bob Yari Productions"
1930,"Stone Group Pictures,Vision International"
1931,"2929 Productions,Dimension Films,Nick Wechsler Productions,Chockstone Pictures"
1932,"Columbia Pictures Corporation,Delphi II Productions,Colgems Productions Ltd."
1933,Miramax Films
1934,"Twentieth Century Fox Film Corporation,Conundrum Entertainment,Say It Isn't So Productions"
1935,"New Zealand Film Commission,2929 Productions,OLC / Rights Entertainment,Tanlay,New Zealand Film Production Fund,3 Dogs and a Pony,Park Road Post,WFI Productions Ltd."
1936,Trilogy Entertainment Group
1937,
1938,"Rhombus Media,O2 Filmes,Téléfilm Canada,Bee Vine Pictures,Alliance Films,Asmik Ace Entertainment,GAGA,Fox Filmes do Brasil,Ancine,BNDES,Cinema Investment,Corus Entertainment,Movie Central Network"
1939,Boll KG
1940,"Wild Bunch,Zanagar Films,Canal+,Constantin Film Produktion,CinéCinéma,Versátil Cinema,SBS Productions,Polski Instytut Sztuki Filmowej,France Télévisions,France 2 Cinéma,SPI Film Studio"
1941,Serendipity Point Films
1942,Reel FX Creative Studios
1943,"Cruise/Wagner Productions,Warner Bros."
1944,"Isle of Man Film,Freestyle Releasing,CinemaNX"
1945,"Paco Cinematografica,Warner Bros.,Regione Lazio,Business Location Sudtirol Alto Adige,Friuli Venezia Giulia Film Commission,UniCredit Group"
1946,"Saturn Films,Nu Image Films,Edward R. Pressman Film,Millennium Films,Polsky Films,Osiris Productions,Lieutenant Productions"
1947,"Motion Investment Group,nWave Pictures,Illuminata Pictures"
1948,"M6 Films,Les Productions du Trésor,EuropaCorp"
1949,"Capitol Films,Rising Star"
1950,Herold and Family
1951,CN Film
1952,"Ingenious Media,Fox 2000 Pictures,Scott Free Productions,Kanzaman,Nick Wechsler Productions,Big Screen Productions,Chockstone Pictures,Translux,TSG Entertainment"
1953,"Rising Star,Premiere Picture,Mythic International Entertainment,Film & Entertainment VIP Medienfonds 4 GmbH & Co. KG (I),Wales Creative IP Fund,Silver Reel,Perpetual Media Capital,Molinare Investment,VIP 4 Medienfonds,ContentFilm International"
1954,"Paramount Pictures,Dino de Laurentiis Cinematografica,Mosfilm"
1955,"Emperor Motion Pictures,Heart & Soul Production,Beijing Silver Moon Productions"
1956,"Aldamisa Entertainment,MVP Films,Invest Capital Film Group,Live Screen Pictures"
1957,"Lorimar Film Entertainment,Warner Bros.,NFH Productions"
1958,"American Zoetrope,France 2 Cinéma,VideoFilmes,Vanguard Films,Canal+,SPAD Films,MK2 Productions,Film4,Ciné+,France Télévisions,Nomadic Pictures,Kramer & Sigman Films,Jerry Leider Company"
1959,Paramount Pictures
1960,"Columbia Pictures,Revolution Studios,Rogue Marble,Metro-Goldwyn-Mayer (MGM)"
1961,"Miramax Films,Konrad Pictures,Maven Entertainment,Dimension Films"
1962,"Handsomecharlie Films,Unanimous Pictures,Straight Up Films,1821 Pictures,Scott Pictures"
1963,Will Packer Productions
1964,"Franchise Pictures,Warner Bros.,Morgan Creek Productions,Nine Yards Productions,Rational Packaging Company,Lansdown Films"
1965,"Paramount Pictures,IndieProd Company Productions"
1966,"DreamWorks SKG,The Montecito Picture Company"
1967,TriStar Pictures
1968,"Columbia Pictures,Mandalay Entertainment,Summer Knowledge LLC"
1969,"Metro-Goldwyn-Mayer (MGM),JLT Productions"
1970,"Blue Askew,View Askew Productions"
1971,"Gramercy Pictures,USA Films,Intermedia"
1972,"BBC Films,Smoke House,Ruby Films"
1973,Touchstone Pictures
1974,"Columbia Pictures Corporation,3 Arts Entertainment,Global Entertainment Productions GmbH & Company Medien KG,Red Wagon Entertainment"
1975,DreamWorks SKG
1976,"Columbia Pictures,Jim Henson Company, The"
1977,"Universal Pictures,Motown Productions"
1978,"Bel Air Entertainment,Warner Bros."
1979,Touchstone Pictures
1980,The Weinstein Company
1981,"The Weinstein Company,Atmosphere Entertainment MM,Chako Film Company,Dimension Films,Intellectual Properties Worldwide,Aja / Levasseur Productions"
1982,Lionsgate
1983,Walt Disney Pictures
1984,"Miramax Films,Allied Filmmakers,Richard Williams Productions"
1985,
1986,"Castle Rock Entertainment,TriStar Pictures,State Street Pictures,CBS Films"
1987,"Studio Ghibli,Buena Vista Home Entertainment,Mitsubishi,d-rights,Tohokushinsha Film Corporation"
1988,"Columbia Pictures,Relativity Media,Pariah"
1989,Touchstone Pictures
1990,"Lucasfilm,Twentieth Century Fox Film Corporation"
1991,"Columbia Pictures,Don Simpson/Jerry Bruckheimer Films"
1992,Paramount Pictures
1993,"New Line Cinema,Zide-Perry Productions,Hard Eight Pictures"
1994,"Appian Way,Crystal City Entertainment,Cross Creek Pictures,Exclusive Media Group,Smokehouse Pictures"
1995,Interscope Communications
1996,"Fox 2000 Pictures,Lynda Obst Productions"
1997,"Warner Bros.,Annapurna Pictures"
1998,"Regency Enterprises,Epsilon Motion Pictures,LivePlanet,New Regency Pictures,Bad Robot"
1999,"Matador Pictures,Arcadia Motion Pictures,uFilm,Afrodita Audiovisual, A.I.E.,Le Tax Shelter du Gouvernement Fédéral de Belgique,Telefónica Producciones,Umedia,Entertainment Motion Pictures,Cinema One,Nix Films,International Pictures Two,Cronos Entertainment AIE"
2000,"Twentieth Century Fox Film Corporation,Fox 2000 Pictures"
2001,Touchstone Pictures
2002,"Irish Film Board,Relativity Media"
2003,Universal Pictures
2004,"Miramax Films,Scott Rudin Productions,Tribeca Productions"
2005,Cube Vision
2006,Columbia Pictures Corporation
2007,"Metro-Goldwyn-Mayer (MGM),Krisjair,Laredo"
2008,"Summit Entertainment,Blackfriars Bridge Films,NALA Films,Samuels Media,Warner Independent Pictures (WIP)"
2009,"France 2 Cinéma,Haut et Court,SCOPE Invest,Ciné@,Canal+,Warner Bros.,CinéCinéma,Scope Pictures,Soficapital,France 2 (FR2),Le Tax Shelter du Gouvernement Fédéral de Belgique,Cofinova 5,Films Distribution,Banque Populaire Images 9"
2010,"Minds Eye Entertainment,Panacea Entertainment,Moving Pictures Media"
2011,"Pathé Renn Productions,UK Film Council,Aramid Entertainment Fund,Canal+,Bill Kenwright Films,Pathe,Deutsche Filmförderfonds (DFFF),Région Ile-de-France,France 3 Cinema,Centre National de la Cinématographie (CNC),National Lottery through UK Film Council,Filmstiftung Nordrhein-Westfalen,Cine Productions,MMC Studios,Tiggy Films,Banque Populaire Images 9,Cheri Productions,Erste MMC-Production"
2012,"Alliance Films,Focus Features"
2013,China Film Group Corporation
2014,"The Weinstein Company,Di Bonaventura Pictures,Dimension Films"
2015,"Brooksfilms Ltd.,Metro-Goldwyn-Mayer (MGM)"
2016,"Hopscotch Features,Fear of God Films"
2017,Paramount Pictures
2018,Twentieth Century Fox Film Corporation
2019,"Walt Disney Pictures,Hollywood Pictures"
2020,"Walt Disney Pictures,Gran Via Productions,98 MPH Productions"
2021,"Walt Disney Pictures,Mayhem Pictures,Monkey Dance Productions"
2022,"Amblin Entertainment,Malpaso Productions,Warner Bros."
2023,"Revolution Studios,Happy Madison Productions"
2024,"Columbia Pictures,Goldcrest Films International,Indo-British,International Film Investors,National Film Development Corporation of India,Carolina Bank"
2025,"Amblin Entertainment,Harpo Films,Participant Media,Imagenation Abu Dhabi FZ,Reliance Entertainment,Touchstone Pictures,DreamWorks Studios"
2026,Columbia Pictures
2027,New Line Cinema
2028,"Hearst Entertainment Productions,LightWorkers Media"
2029,"Lakeshore Entertainment,Laurinfilm,Subterranean Productions LLC,Subterranean Productions UK Ltd.,Underworld Produktions GmbH"
2030,"Miramax Films,Di Bonaventura Pictures,Patalex V Productions Limited"
2031,"Section Eight,Groundswell Productions,Warner Bros.,Participant Media,Jaffe / Braunstein Enterprise"
2032,"Shadowlands Productions,Savoy Pictures"
2033,"Columbia Pictures Corporation,Out of the Blue... Entertainment,Happy Madison Productions"
2034,"DreamWorks SKG,Touchstone Pictures"
2035,"StudioCanal,Film4,Anton Capital Entertainment (ACE),The Ink Factory,Potboiler Productions,Amazon Prime Instant Video"
2036,"Village Roadshow Pictures,NPV Entertainment,Columbia Pictures Corporation"
2037,Fox 2000 Pictures
2038,"40 Acres & A Mule Filmworks,Touchstone Pictures"
2039,"Dimension Films,View Askew Productions,Miramax"
2040,Original Film
2041,"Universal Pictures,Mike Zoss Productions,Working Title Films"
2042,"Universal Pictures,Marc Platt Productions,Metro-Goldwyn-Mayer (MGM),Riverdale Productions"
2043,"Millennium Films,Open Road Films"
2044,New Line Cinema
2045,"Fox Searchlight Pictures,Scott Rudin Productions,Qwerty Films,N1 European Film Produktions GmbH & Co. KG,Kanzeon,Huckabee's"
2046,Orion Pictures
2047,"Infinity Omnimedia,TBN Films"
2048,"Paramount Pictures,Geoffrey Productions"
2049,"Universal Pictures,Joseph M. Singer Entertainment,Davis Entertainment"
2050,EuropaCorp
2051,"First Choice Films,Isle of Man Film"
2052,"CoBo Fund,Studio Babelsberg,Motel Films,Motion Investment Group,Egoli Tossell Film AG,Filmförderungsanstalt (FFA),Nederlands Fonds voor de Film,Medienboard Berlin-Brandenburg,uFilm,Le Tax Shelter du Gouvernement Fédéral de Belgique,Fu Works,Hector BV,Media Programme of the European Community,Euroimages Fund of the Council of Europe,VIP 4 Medienfonds,ContentFilm International,Clockwork Pictures"
2053,"Senator Film Produktion,Media Pro Pictures,TF1 Films Production,Nord-Ouest Productions,The Bureau,Artémis Productions,Les Productions de la Guéville"
2054,"Primate Pictures,Kim and Jim Productions,Panay Films,Exclusive Media Group"
2055,"Millennium Films,verture Films"
2056,"StudioCanal,Scott Free Productions,Millennium Films,Film i Väst,Filmgate Films,Clarius Entertainment"
2057,"Paramount Pictures,Universal Pictures,Film Properties International N.V."
2058,"Stone Productions,Mimran Schur Pictures"
2059,
2060,"Appian Way,Scott Free Productions,Relativity Media,Energy Entertainment,Red Granite Pictures"
2061,"Castle Rock Entertainment,Mirage Enterprises,Section Eight Productions"
2062,"Warner Bros.,Storyline Entertainment,Peters Entertainment"
2063,"Lakeshore Entertainment,Screen Gems,Arlington Road Productions Corporation,Gorai / Samuelson Productions,Samuelson Productions"
2064,"100 Bares,Ministerio de Cultura,Instituto de Crédito Oficial (ICO),Televisión Federal (Telefe),369 Productions,Catmandu Branded Entertainment,JEMPSA,Plural - Jempsa,Prana Animation Studios"
2065,"Gravier Productions,Medusa Film,Mediapro,Perdido Productions"
2066,Malpaso Productions
2067,"Paramount Pictures,Scott Rudin Productions,Comedy Central,Warner Bros.,Comedy Central Films,Comedy Partners"
2068,"Sidney Kimmel Entertainment,Parabolic Pictures,Stable Way Entertainment,Target Media Entertainment,VIP 2 Medienfonds,VIP 1 Medienfonds"
2069,"New Line Cinema,Golden Harvest Pictures,Clearwater Holdings Limited"
2070,"Paramount Pictures,GHS Productions KG,Munich Film Partners & Company (MFP) GHS Productions,Nides/McCormick Productions"
2071,The Weinstein Company
2072,"Double Feature Films,Jersey Films,Kernos Filmproduktionsgesellschaft & Company"
2073,Lions Gate Films
2074,"TF1 Films Productions,Current Entertainment,Canal+,EuropaCorp"
2075,"Summit Entertainment,Mandalay Pictures,Baumgarten Management and Productions (BMP)"
2076,"United Artists,Red Bank Films"
2077,"Neal Street Productions,Focus Features,Big Beach Films"
2078,Touchstone Pictures
2079,"Punch Productions,Touchstone Pictures,Hyde Park Entertainment,Reveal Entertainment,Gran Via"
2080,"StudioCanal,Kinowelt Filmproduktion,Canal+,CinéCinéma,Working Title Films,Karla Films"
2081,"Metro-Goldwyn-Mayer (MGM),Absolute Entertainment (II),Cockamamie,Heckerling-Caplan"
2082,"Summit Entertainment,Participant Media,Imagenation Abu Dhabi FZ,Anonymous Content"
2083,"Universal Pictures,RKO"
2084,"Alliance Atlantis Communications,Natural Nylon Entertainment,Serendipity Point Films,Téléfilm Canada,The Harold Greenberg Fund,The Movie Network,Union Générale Cinématographique,Canadian Television Fund"
2085,"Lucasfilm,Paramount Pictures"
2086,"Twentieth Century Fox Film Corporation,Hughes Entertainment"
2087,"Columbia Pictures Corporation,EMI Films,Julia Phillips and Michael Phillips Productions"
2088,Dimension Films
2089,"Paramount Pictures,Eddie Murphy Productions,Don Simpson/Jerry Bruckheimer Films"
2090,"Hyde Park Films,Touchstone Pictures"
2091,"Orion Pictures,Strong Heart/Demme Production"
2092,Paramount Pictures
2093,MTV Films
2094,Universal Pictures
2095,Walt Disney Pictures
2096,"New Line Cinema,The Safran Company,Evergreen Media Group"
2097,"Columbia Pictures,Revolution Studios,Cube Vision"
2098,"New Line Cinema,Gary Sanchez Productions"
2099,"Paramount Pictures,Scott Rudin Productions,Nickelodeon Movies,NEW Century,MFP Munich Film Partners GmbH & Company I. Produktions KG,Sor Productions"
2100,"New Line Cinema,Threshold Entertainment"
2101,"Columbia Pictures,Revolution Studios,Wayans Bros. Entertainment,Gone North Productions"
2102,"Fox Searchlight Pictures,Dune Entertainment,Ad Hominem Enterprises"
2103,"Walt Disney Pictures,Chicago Pacific Entertainment,Walden Media,Phoenix Pictures"
2104,Touchstone Pictures
2105,"Plan B Entertainment,Regency Enterprises,River Road Entertainment,Film4,New Regency Pictures"
2106,Fox 2000 Pictures
2107,"Lions Gate Films,The Tyler Perry Company"
2108,Twentieth Century Fox Film Corporation
2109,"New Line Cinema,Sunswept Entertainment,Metro-Goldwyn-Mayer (MGM)"
2110,"Tyler Perry Company, The"
2111,"Twentieth Century Fox Film Corporation,D'Antoni Productions,Schine-Moore Productions"
2112,"STX Entertainment,Huayi Brothers Pictures,BillBlock Media"
2113,"Regency Enterprises,Epsilon Motion Pictures,New Regency Pictures"
2114,"Walt Disney Pictures,Walt Disney Television Animation,Walt Disney Animation Australia,DisneyToon Studios,Walt Disney Animation Canada"
2115,"Plan B Entertainment,Harpo Films,Celador Films,Cloud Eight Films,Pathé"
2116,"Walt Disney Pictures,Walt Disney Television Animation,Walt Disney Animation Australia,DisneyToon Studios"
2117,"Ghost House Pictures,Senator International,Screen Gems,Pacific Renaissance Pictures Ltd."
2118,"TriStar Pictures,Hyde Park Films,Offspring Entertainment"
2119,Walt Disney Pictures
2120,"Dark Castle Entertainment,Studio Babelsberg StudioBabelsberg Motion Pictures,Don Carmody Productions,Studio Canal"
2121,"Sunswept Entertainment,Warner Bros.,Metro-Goldwyn-Mayer (MGM),Reel Chefs Catering"
2122,"Twentieth Century Fox Film Corporation,Regency Enterprises,New Regency Pictures,Paul Schiff Productions"
2123,"Universal Pictures,Participant Media,Anonymous Content,Rocklin / Faust,First Look Media"
2124,"Screen Gems,Overbrook Entertainment"
2125,"Columbia Pictures Corporation,Ghost House Pictures,Vertigo Entertainment"
2126,Twentieth Century Fox Film Corporation
2127,"Orion Pictures,Nelson Entertainment"
2128,"Universal Pictures,Morgan Creek Productions"
2129,Walt Disney Productions
2130,"This Is That Productions,Focus Features,Twins Financing,Smokehouse Pictures,Greenlit Rights"
2131,"Q Productions,Esparza / Katz Productions"
2132,"Regency Enterprises,Road Rebel"
2133,"Paramount Vantage,Media Rights Capital,Anonymous Content,Central Films"
2134,"Spring Creek Productions,21 Laps Entertainment,Warner Bros."
2135,"Scott Rudin Productions,Goodspeed Productions"
2136,"Paramount Pictures,Scott Rudin Productions"
2137,"Nu Image Films,Lions Gate"
2138,"Regency Enterprises,New Regency Pictures"
2139,Dimension Films
2140,"Paramount Pictures,Malpaso Productions,Alan Jay Lerner Productions"
2141,Focus Features
2142,"Columbia Pictures,Affirm Films,LD Entertainment,Patrick Aiello Productions"
2143,"Village Roadshow Pictures,NPV Entertainment,Dark Castle Entertainment,Warner Bros.,Ghost Ship Films Pty. Ltd."
2144,"New Line Cinema,Mandate Pictures"
2145,"Columbia Pictures,Mandalay Entertainment"
2146,Screen Gems
2147,"Miramax Films,Marv Films,Pioneer Pictures"
2148,"Buena Vista,Touchstone Pictures"
2149,"Intermedia Films,Alcon Entertainment,Kadokawa Pictures,Equity Pictures Medienfonds GmbH & Co. KG IV"
