,cast,genres,keywords,production_companies,production_countries,urls,titles
2920,LauraLinney GabrielByrne Deborra-LeeFurness JohnHoward,Crime Drama Mystery Thriller,smalltown fishing malefriendship australia marriagecrisis marriage friendship murder australianaborigine aboriginal aborigine,AustralianFilmFinanceCorporation(AFFC) TheNewSouthWalesFilmandTelevisionOffice RGMFilms AprilFilms RedChairFilms Babcock&Brown TheAustralianFilmFinanceCorporation,Australia,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.r8CqRNNjm9-VkKhhn_KlTQHaOG%26pid%3D15.1&f=1,jindabyne
2921,CateBlanchett MinnieDriver RupertEverett JulianneMoore,Drama Comedy Romance,,MiramaxFilms PyramideProductions,UnitedKingdom UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.rS1s3W16YIaESXT8RWesDAHaKs%26pid%3D15.1&f=1,an ideal husband
2922,LievSchreiber RomolaGarai EliasKoteas OliviaWilliams,ScienceFiction Thriller Horror,mars sciencefiction zombie,QwertyFilms IrishFilmBoard Canal+ BritishFilmInstitute(BFI) FantasticFilms,Ireland UnitedKingdom,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.-EDJ6vmsA23QsgrkOrAE3wHaK7%26pid%3D15.1&f=1,the last days on mars
2923,AnnaPaquin LenaOlin IainGlen GiancarloGiannini,Horror,lossofchild solareclipse hauntedhouse family psychopathy,VíaDigital FilmaxEntertainment DimensionFilms CastelaoProducciones,Spain UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.nQEAI_7Ml-TIOp3F3231YAHaKj%26pid%3D15.1&f=1,darkness
2924,KeirDullea GaryLockwood WilliamSylvester DouglasRain,ScienceFiction Mystery Adventure,moon jupiter artificialintelligence manvsmachine technology supercomputer humanbeing spacetravel spacemission moonbase astronaut evolution monolith spacestation,StanleyKubrickProductions Metro-Goldwyn-Mayer(MGM),UnitedStatesofAmerica UnitedKingdom,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.rFlZxyJRIPOmCuI2BJ5jugHaLH%26pid%3D15.1&f=1,2001: a space odyssey
2925,HenryThomas DrewBarrymore RobertMacNaughton DeeWallace,ScienceFiction Adventure Family Fantasy,farewell homesickness nasa extraterrestrialtechnology operation spacemarine lossoffather hidingplace ridingabicycle flyingsaucer prosecution halloween flowerpot finger single,UniversalPictures AmblinEntertainment,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.WbgnovSyTuyJQWgn1SqahgHaLH%26pid%3D15.1&f=1,e.t. the extra-terrestrial
2926,MegRyan KristenStewart AdamBrody JoBethWilliams,Romance Comedy Drama,infidelity party love cancer neighbor writer teenager illness flashback actress,CastleRockEntertainment LandFilmsInc. AnonymousContent,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.1PWLr5M6cdzjBgsgFYybPQHaK8%26pid%3D15.1&f=1,in the land of women
2927,MarcDonato PascaleBussières WilliamHurt RaoulMaxTrujillo,Adventure Drama Family,rain butterfly rainforest womandirector insects insectarium,PalpableProductions GalafilmProductions GlobalArtsProductions,Canada,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.gK5jZHNEJPPZ4k9TI57oVgHaK2%26pid%3D15.1&f=1,the blue butterfly
2928,DermotMulroney RickySchroder KelliWilliams NoahWyle,Drama Comedy,,NelsonEntertainment,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.rO_WEj1-6h3jFjrZ16GP5QAAAA%26pid%3D15.1&f=1,there goes my baby
2929,AkshayKumar RiteshDeshmukh DeepikaPadukone LaraDutta,Drama Comedy Romance Foreign,,,India,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.gJXIPYUfzJ8ihM0-PY71uwAAAA%26pid%3D15.1&f=1,housefull
2930,JonVoight TamaraHope TrentFord LolitaDavidovich,Drama Action History Western Romance,,SeptemberDawn VoicePictures BlackDiamondPictures,Canada,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.6wxtsbLJkVH306roeM7RcQHaLH%26pid%3D15.1&f=1,september dawn
2931,EvaLongoria AndyGarcía OscarIsaac PeterO'Toole,History Drama,duringcreditsstinger,DosCorazones,Mexico,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.szKCAYuTNW0LPTFqX3UpOwHaLC%26pid%3D15.1&f=1,for greater glory - the true story of cristiada
2932,LouaneEmera KarinViard FrançoisDamiens EricElmosnino,Comedy Drama Music,deafness music comingofage teenagegirl singing family signlanguage,France2Cinéma MarsFilms NexusFactory Umedia Jerico VendômeProduction Quarante12Films,France,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.DbADTj5G25shrfalJopfOAHaKj%26pid%3D15.1&f=1,la famille bélier
2933,RobinWilliams MattDamon BenAffleck StellanSkarsgård,Drama,baseball boston professor m.i.t. harvarduniversity ambition mathematics genius love friends janitor irish psychologist university courtroom flashback prodigy,MiramaxFilms LawrenceBenderProductions BeGentlemenLimitedPartnership,Canada UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.uxqUzV37vp_FXIZ3PRhapgHaLH%26pid%3D15.1&f=1,good will hunting
2934,JoshDuhamel AliceEve MalinÅkerman LeeByung-hun,Drama Thriller,,Lionsgate MikeandMartyProductions,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.PbVUIw0FCr05btWZShS8tgAAAA%26pid%3D15.1&f=1,misconduct
2935,TobinBell ShawneeSmith AngusMacfadyen BaharSoomekh,Horror Thriller Crime,braintumor nudity suffocation mutilation severedfoot famoustheme shotintheface,LionsGateFilms TwistedPictures EvolutionEntertainment,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.HNZYse-7tNNqe9kOFOPxqAHaLC%26pid%3D15.1&f=1,saw iii
2936,BillMurray HaroldRamis WarrenOates P.J.Soles,Action Comedy,date ex-girlfriend u.s.army militaryspoof,ColumbiaPicturesIndustries,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.LTMt3MD8m0XNZ69RetObugHaD6%26pid%3D15.1&f=1,stripes
2937,KirstenDunst JesseBradford ElizaDushku GabrielleUnion,Comedy,cheerleader sport highschool teenagegirl cheerleading cheeringcrowd duringcreditsstinger,BeaconCommunications,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.woD4jAkPixU28KBFWDzKGgHaKj%26pid%3D15.1&f=1,bring it on
2938,ElizabethMitchell FrankGrillo MykeltiWilliamson EdwinHodge,Action Horror Thriller,dystopia sequel legalizedmurder,UniversalPictures WhyNotProductions PlatinumDunes BlumhouseProductions,France UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.Nf6-5Y-k83wCU9zCUay5pwHaLu%26pid%3D15.1&f=1,the purge: election year
2939,FreddiePrinzeJr. RachaelLeighCook MatthewLillard PaulWalker,Comedy Romance,tvstar jeep volleyball misfit teenangst houseparty teenmovie teenager avant-garde popularity littlepeople highschoolstudent younglove promqueen pygmalion clownmakeup performanceart beatboxing selfexpression tripping poolcleaner,MiramaxFilms TapestryFilms FilmColony,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.LKKjsHTwwrmDxiiEFfvr4AHaLI%26pid%3D15.1&f=1,she's all that
2940,TobinBell ScottPatterson CostasMandylor BetsyRussell,Horror Thriller Crime,ice victim pain games psychopath blood electricchair doctor torture violence policeofficer fbiagent femalecorpse,LionsGateFilms TwistedPictures,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.BEbP64hVDaucKtTudV6lCQHaLJ%26pid%3D15.1&f=1,saw iv
2941,MichaelKeaton ChandraWest DeborahKaraUnger IanMcNeice,Drama Horror Thriller,wheelchair time voice inspector supernatural loss remotecontrol liftingpersoninair paranormalphenomena death waterfront audiocassette logbook electronicvoicephenomena nearmiss bedridden,UniversalPictures BrightlightPictures EndgameEntertainment TheMovieNetwork(TMN) CanadianFilmorVideoProductionTaxCredit(CPTC) ProvinceofBritishColumbiaFilmIncentiveBC Corus GoldCircleFilms WhiteNoiseUKLtd.,Canada UnitedKingdom UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.4ty4sPnWvDywLn_EueWsEAAAAA%26pid%3D15.1&f=1,white noise
2942,TylerPerry BlairUnderwood LynnWhitfield BorisKodjoe,Drama Comedy Romance,spanking basedonplay,LionsGateFilms,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.Z11SXyr-P1dHE2lP603fowHaE8%26pid%3D15.1&f=1,madea's family reunion
2943,PaulNewman TomCruise MaryElizabethMastrantonio HelenShaver,Drama,bar billard talent hustler sport,SilverScreenPartners TouchstonePictures,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.2H2Rh-lAk5IAtm49Lh7uJwHaK3%26pid%3D15.1&f=1,the color of money
2944,EddieAlbert PaulAnka Arletty Jean-LouisBarrault,Action Drama History War,worldwarii normandy allied widerstand steelhelmet soldier,TwentiethCenturyFoxFilmCorporation DarrylF.ZanuckProductions,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP._EQ3LFdGgbD_SH9ZFNQJYwHaLH%26pid%3D15.1&f=1,the longest day
2945,EmilioEstevez JossAckland LaneSmith HeidiKling,Comedy Family,sportsteam sport icehockey hockeygame winning feel-goodending thebiggame,WaltDisney,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.orVhZBDkrek1wTZQPDrXigHaLC%26pid%3D15.1&f=1,the mighty ducks
2946,SarahMichelleGellar JasonBehr CleaDuVall BillPullman,Horror Mystery Thriller,malenudity nurse japanese house remake curse oldwoman catatonia ghostchild remakeofjapanesefilm,GhostHousePictures VertigoEntertainment SenatorInternational ColombiaPictures FellahPictures,Japan UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.ps6H3HIaKd2akVHksXCaiQHaLH%26pid%3D15.1&f=1,the grudge
2947,AdamSandler BenStiller ChristopherMcDonald JulieBowen,Comedy,lossofmother lossoffather golf sport taxes,UniversalPictures Brillstein-GreyEntertainment RobertSimondsProductions,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.NR06_m854tQl5m3tftwybwHaLH%26pid%3D15.1&f=1,happy gilmore
2948,GinaPhilips JustinLong JonathanBreck PatriciaBelcher,Horror Thriller,massmurder song brother sister aftercreditsstinger,UnitedArtists AmericanZoetrope CinerentaMedienbeteiligungsKG Cinerenta-Cinebeta VCLCommunications,Germany UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.OBarLLteowjweAgrMfBxiQHaLH%26pid%3D15.1&f=1,jeepers creepers
2949,KeanuReeves AlexWinter GeorgeCarlin DanShor,Adventure Comedy ScienceFiction,jealousy journeyinthepast sigmundfreud timetravel heavymetal socrates billythekid schoolpresentation rhinoceros phonebooth worldpeace past history metal bestfriend napoleonbonaparte,OrionPictures,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.4SGH2VsnkOJkT98Y1aMLOwHaLK%26pid%3D15.1&f=1,bill & ted's excellent adventure
2950,RonMoody ShaniWallis OliverReed HarrySecombe,Drama Family Music,pickpocket musical victorianengland orphan,ColumbiaPicturesCorporation WarwickFilmProductions RomulusFilms,UnitedKingdom,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.9mvbMPTMVBQP_xYFqDV-cgAAAA%26pid%3D15.1&f=1,oliver!
2951,BillNighy MaggieSmith TomWilkinson JudiDench,Drama Comedy,hotel basedonnovel india ensemblecast elderly jaipurindia personalgrowth outsourcing,ParticipantMedia ImagenationAbuDhabiFZ,UnitedArabEmirates UnitedKingdom UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.BmOz0DZelh3jAl25Ip2gbgHaLZ%26pid%3D15.1&f=1,the best exotic marigold hotel
2952,RickeyD'ShonCollins JasonDavis AshleyJohnson CourtlandMead,ScienceFiction Animation Comedy Family,holiday elementaryschool friends basedontvseries summer classmates recess,WaltDisneyTelevisionAnimation DisneyToonStudio,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.XMy5Z4uKj2qPmXe-zJa99gAAAA%26pid%3D15.1&f=1,recess: school's out
2953,MelGibson TinaTurner BruceSpence HelenBuday,Action Adventure ScienceFiction,arena sandstorm dystopia oasis sequel postnuclear ozploitation,KennedyMillerProductions,Australia,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.WQUV9MsmmoPSAPLThSJo3QAAAA%26pid%3D15.1&f=1,mad max beyond thunderdome
2954,ArnoldSchwarzenegger RaeDawnChong DanHedaya VernonWells,Action Adventure Thriller,kidnapping lonewolf daughter father rescuemission,TwentiethCenturyFoxFilmCorporation SLMProductionGroup SilverPictures,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.PVA3WCgj189pceUP_tB0NQHaOG%26pid%3D15.1&f=1,commando
2955,LaurenCohan RupertEvans JamesRussell JimNorton,Horror Mystery Thriller,suicide england fire countryhouse shower nanny mask boy murder mansion violence doll burnvictim secretpassageway brokenmirror lossofachild,LakeshoreEntertainment VertigoEntertainment DiamondFilms ShowtimeNetworks STXEntertainment,UnitedStatesofAmerica China Canada,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.hIK16KoghpDihk0SXlQeYAHaEI%26pid%3D15.1&f=1,the boy
2956,ChrisMessina JacobVargas BojanaNovaković LoganMarshall-Green,Horror Mystery Thriller,claustrophobia trappedinanelevator,UniversalPictures MediaRightsCapital NightChronicles RelativityMedia,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.9vMu_ph1flaCwmtGpyPCTQAAAA%26pid%3D15.1&f=1,devil
2957,IceCube MikeEpps JohnWitherspoon DonCurry,Comedy,guard shoppingmall thief drug,NewLineCinema,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.-u1vg0nSrIpJbCQKWE1o3QHaK3%26pid%3D15.1&f=1,friday after next
2958,DermotMulroney StefanieScott LinShaye LeighWhannell,Drama Horror Thriller,sequel,SonyPictures,Canada UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.abSG8ocjVwcf4SxMpxqBVwHaK-%26pid%3D15.1&f=1,insidious: chapter 3
2959,Taimak JuliusCarry Vanity ChristopherMurney,Action Adventure Comedy,martialarts pizzeria limousine music,TriStarPictures MotownProductions DelphiIIIProductions,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.2c_tqb-OGqPU20yTrbRhcQHaEc%26pid%3D15.1&f=1,the last dragon
2960,JeffFahey PierceBrosnan JennyWright MarkBringelson,Horror Thriller ScienceFiction,dream chimp manipulation botanist virtualreality lemonade intelligent,NewLineCinema AlliedVision,UnitedKingdom Japan UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP._emO7nFXSY5jBsDgekCV8gHaK-%26pid%3D15.1&f=1,the lawnmower man
2961,MichaelCera KatDennings AaronYoo AlexisDziena,Comedy Music Romance,concert teenager onenight basedonyoungadultnovel secretlocation,ColumbiaPictures MandatePictures DepthofField ScreenGems,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.PdsLtQ2zJlQ3D_pji16BBQHaLA%26pid%3D15.1&f=1,nick and norah's infinite playlist
2962,BenAffleck MattDamon LindaFiorentino JasonMewes,Fantasy Comedy Adventure,angel wisconsin churchservice church aftercreditsstinger duringcreditsstinger,LionsGate ViewAskewProductions,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.2gKTIM6XyZydKOS0zPO1VAAAAA%26pid%3D15.1&f=1,dogma
2963,GoldieHawn SusanSarandon GeoffreyRush ErikaChristensen,Comedy Drama,tattoo rockstar groupie past family,FoxSearchlightPictures,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.qKfEN4fZXOqIcuo9cSuGqAHaGY%26pid%3D15.1&f=1,the banger sisters
2964,AlbertBrooks VicMorrow JohnLarroquette JohnLithgow,Drama Fantasy Horror ScienceFiction Thriller,nazis anthology remake twilightzone,WarnerBros.,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.jpP6-Xww4MZ0YtN77r97KAHaLS%26pid%3D15.1&f=1,twilight zone: the movie
2965,PatrickSwayze KellyLynch SamElliott BenGazzara,Action Thriller,newlove protectionmoney nightclub rausschmeißer revenge hoodlum brawl,UnitedArtists StarPartnersIILtd. SilverPictures,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.4duo1jL4KXj0ec4JSrA9kAAAAA%26pid%3D15.1&f=1,road house
2966,KeenenIvoryWayans CharlesS.Dutton JadaPinkettSmith SalliRichardson-Whitfield,Action Comedy Crime,fbi drugcrime violence drug privatedetective blast,CaravanPictures HollywoodPictures,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.xA6KcFKzY09S0YqhgI0vGgAAAA%26pid%3D15.1&f=1,a low down dirty shame
2967,JesseBradford ErikaChristensen ShiriAppleby KateBurton,Drama Thriller,competition coma infidelity obsession bathing highschool femmefatale athlete hospital swimmer swimming troubledteen,TwentiethCenturyFoxFilmCorporation GreenestreetFilms CobaltMediaGroup FurthurFilms ForrestFilms,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.ZuUC5IZ8ZRGBfIQX9fb9kwHaOG%26pid%3D15.1&f=1,swimfan
2968,DaneCook JessicaSimpson DaxShepard AndyDick,Comedy Romance,salesclerk midlifecrisis prenzlauerberg vulgar slacker businessconsultant,Lionsgate,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.g0CawoWo7XvBygYYLlvIWAHaLH%26pid%3D15.1&f=1,employee of the month
2969,JenniferLoveHewitt EthanEmbry CharlieKorsmo LaurenAmbrose,Comedy Drama Romance,alcohol regret homophobia radio cheerleader loveletter college graduation groupie costume nerd highschool party friends dating break-up rockband popmusic americanfootballplayer infatuation washedupstar unlikelyfriendship socialoutcast womandirector jocks havingfun revengeplot,ColumbiaPictures,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.zebtp7xWKMLJTNtpJf8inwHaLH%26pid%3D15.1&f=1,can't hardly wait
2970,MattDillon RalphMacchio C.ThomasHowell PatrickSwayze,Crime Drama,streetgang children'shome comingofage gang juveniledelinquent basedonyoungadultnovel,AmericanZoetrope WarnerBros.,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.vgbYe3nwt7cNqyyGK2gzpAHaKY%26pid%3D15.1&f=1,the outsiders
2971,BryceDallasHoward OakesFegley WesBentley KarlUrban,Adventure Family Fantasy,feralchild remake dragon orphan 1980s liveactionandanimation,WaltDisneyPictures WaltDisneyStudiosMotionPictures,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.Ka-OzBqlKlPJA8Mklc38BgHaEK%26pid%3D15.1&f=1,pete's dragon
2972,ChristopherWalken BrookeAdams TomSkerritt MartinSheen,Horror ScienceFiction Thriller,coma sheriff basedonnovel sacrifice suspense psychopathickiller premonition independentfilm vision doctor caraccident seriesofmurders psychic darkhero gothic madness flashback,ParamountPictures LorimarFilmEntertainment DinoDeLaurentiisCompany,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.Qpx39Le_C50vTQxrAXPfnAHaLJ%26pid%3D15.1&f=1,the dead zone
2973,ShannynSossamon JamesRansone RobertDanielSloan DartanianSloan,Horror,hauntedhouse sequel twins,AllianceFilms BlumhouseProductions IMGlobal AutomatikEntertainment EntertainmentOne TankCaterpillar SteadyAim,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.JP1C5d6GBl0hOi-mY9b0IAAAAA%26pid%3D15.1&f=1,sinister 2
2974,WhitneyHouston CeeLoGreen DerekLuke MikeEpps,Drama Music,soongsisters duringcreditsstinger,TriStarPictures PhoenixPictures Stage6Films AkilProductionCompany,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.oMQ5IbCp_TnLNGpnBGI8yAHaLH%26pid%3D15.1&f=1,sparkle
2975,DeniseRichards DavidBoreanaz MarleyShelton JessicaCapshaw,Horror Thriller,mobbing success violenceagainstwomen revenge serialkiller valentine'sday,VillageRoadshowPictures NPVEntertainment WarnerBros.,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.LVUoNyZyBQvpZz_G7vW53QHaK9%26pid%3D15.1&f=1,valentine
2976,MillaJovovich WillPatton HakeemKae-Kazim CoreyJohnson,Mystery ScienceFiction Thriller,brothersisterrelationship wheelchair hypnosis investigation cover-up ufo alaska disappearance hospital alienabduction patient psychotherapy fakedocumentary basedonsupposedlytruestory nomealaska fakedfootage audiocassette ancientastronaut anchoragealaska policefake duringcreditsstinger,UniversalPictures SagaFilm FocusFilms GoldCircleFilms ChambaraPictures DeadCrowProductions FourthKindProductions,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.v8-brGGhbKYnfIAxMY09LAHaOG%26pid%3D15.1&f=1,the fourth kind
2977,MerylStreep LindsayLohan VirginiaMadsen WoodyHarrelson,Drama Comedy Music,usa countrymusic commercial radiopresenter radiotransmission bühnenauftritt backstage singer,RiverRoadEntertainment GreeneStreetFilms PicturehouseEntertainment Sandcastle5Productions PrairieHomeProductions,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.v15L87k9tGr_26jgDMwSiwAAAA%26pid%3D15.1&f=1,a prairie home companion
2978,WesleySnipes MichaelWright DonaldFaison O.L.Duke,Drama Action Thriller,,BeaconCommunications BeaconPictures SouthStreetFilms GhiznozProductions,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.lb4VKGnJVuDhuBUQcnftFAAAAA%26pid%3D15.1&f=1,sugar hill
2979,ChuckNorris RichardLynch MelissaProphet AlexanderZale,Action Thriller,,CannonFilms,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.3aY8fgev_c6OiDXKPhQemwHaLH%26pid%3D15.1&f=1,invasion u.s.a.
2980,NickCannon ShadMoss ChiMcBride MeaganGood,Comedy Drama Family,,FoxSearchlightPictures,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.bwuFs5XgQdh9I83_IhKqvgHaLH%26pid%3D15.1&f=1,roll bounce
2981,JasonSchwartzman OliviaWilliams BillMurray SeymourCassel,Comedy Drama,privateschool lonewolf theatreplay theatregroup theatredirector independentfilm,TouchstonePictures,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.88NgFeUHLfLS0kse2AGRnwAAAA%26pid%3D15.1&f=1,rushmore
2982,EricBalfour ScottieThompson DavidZayas DonaldFaison,ScienceFiction,missile light transformation low-budget alien fireplace losangeles cellphone rooftop duringcreditsstinger,RoguePictures RelativityMedia Hydraulx RatEntertainment TransmissionPictures,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.h_0laigxN8GDHXdn2ANkbwHaOG%26pid%3D15.1&f=1,skyline
2983,DevPatel JudiDench RichardGere MaggieSmith,Drama Comedy,india retirementhome,FoxSearchlightPictures ParticipantMedia BlueprintPictures,UnitedKingdom UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.rfcZ5yCjXnXrXEwiWnS_EQHaHa%26pid%3D15.1&f=1,the second best exotic marigold hotel
