,production_companies
1769,ImagineEntertainment UniversalPictures
1770,ColumbiaPictures ApatowProductions
1771,TwentiethCenturyFoxFilmCorporation
1772,TigProductions TouchstonePictures BeaconPictures CobaltMediaGroup
1773,ColumbiaPicturesCorporation StonebridgeEntertainment
1774,UnitedArtists JosephE.LevineProductions
1775,DreamWorksSKG Craven-MaddalenaFilms BenderSpink
1776,NewLineCinema Zide-PerryProductions
1777,UniversalPictures MikeZossProductions StudioCanal TouchstonePictures WorkingTitleFilms
1778,BoldFilms
1779,ParamountPictures DeLinePictures
1780,DepthofField
1781,ParamountPictures NickelodeonMovies ValhallaMotionPictures
1782,ColumbiaPictures
1783,Lionsgate RelativityMedia SighvatssonFilms MichaelDeLucaProductions PalomarPictures(II)
1784,SplendidPictures MaverickFilms Metro-Goldwyn-Mayer(MGM) DylanSellersProductions MadacyEntertainment
1785,NewLineCinema
1786,Metro-Goldwyn-Mayer(MGM)
1787,RelativityMedia
1788,TwentiethCenturyFoxFilmCorporation IntermediaFilms MediastreamVierteFilmGmbH&Co.VermarktungsKG MooseportProductions
1789,Trans-Film InitialGroupe LumièrePictures Fallingcloud
1790,FoxSearchlightPictures MarmontProductions Blood&WineProductions MajesticFilmsInternational
1791,InterscopeCommunications PolygramFilmedEntertainment
1792,DreamWorksSKG GravierProductions
1793,K.JAMMedia
1794,UniversalPictures TheBubbleFactory AmericanFilms
1795,EndgameEntertainment RamBergmanProductions
1796,StudioBabelsberg EpsilonMotionPictures UKFilmCouncil ScionFilms FocusFeatures BlueSkyFilms PotboilerProductions
1797,IconProductions TwentiethCenturyFoxFilmCorporation
1798,TwentiethCenturyFoxFilmCorporation BlueWolf
1799,UnitedArtists StarPartnersIILtd.
1800,VillageRoadshowPictures MalpasoProductions GerberPictures WarnerBros. DoubleNickelEntertainment MattenProductions WVFilmsIV
1801,TwentiethCenturyFoxFilmCorporation M6Films Canal+ TPSStar GriveProductions EuropaCorp M6 WintergreenProductions AllPicturesMedia
1802,RelativityMedia
1803,TigProductions WarnerBros. KasdanPictures
1804,UniversalPictures AmblinEntertainment
1805,DreamWorksSKG 1492Pictures ParticipantProductions ImagenationAbuDhabiFZ RelianceEntertainment TouchstonePictures
1806,DreamWorksSKG ParticipantMedia RelianceEntertainment TouchstonePictures AnonymousContent
1807,MosaicMediaGroup WarnerBros.
1808,UniversalPictures Ankor-Film
1809,NewLineCinema CecchiGoriGroupTigerCinematografica AveryPix SeanS.CunninghamFilms CrystalLakeEntertainment WTCProductions YannixTechnologyCorporation
1810,RevolutionFilms BBCFilms Cattleya VedetteFinance Multitrade YpsilonFilms
1811,NickelodeonMovies UniversalCartoonStudios ParamountAnimation
1812,ParamountPictures BadRobot
1813,NewLineCinema GoldenHarvestCompany
1814,ParamountPictures
1815,MiramaxFilms ScottRudinProductions ParamountVantage MikeZossProductions
1816,UniversalPictures RainforestFilms CubeVision RelativityMedia
1817,MiramaxFilms UniversalPictures StudioCanal WorkingTitleFilms LittleBird
1818,MiramaxFilms DavidBrownProductions FatFree
1819,TypeAFilms MarcPlattProductions Metro-Goldwyn-Mayer(MGM)
1820,TwentiethCenturyFoxFilmCorporation DuneEntertainment DuneEntertainmentIII CherninEntertainment WaldenMedia FaceProductions
1821,KatalystFilms TheMontecitoPictureCompany HandsomecharlieFilms
1822,HollywoodPictures CinergiPicturesEntertainment
1823,SilverPictures WarnerBros.
1824,TwentiethCenturyFoxFilmCorporation MaceNeufeldProductions
1825,NewLineCinema Zide-PerryProductions KumarMobiliengesellschaftmbH&Co.ProjektNr.1KG HardEightPictures MatineePictures PracticalPictures
1826,VillageRoadshowPictures DiNoviPictures WarnerBros. LangleyParkProduction
1827,WaldenMedia HalLiebermanCompany LaurenLevineProductionsInc.
1828,MiramaxFilms FilmColony
1829,LionsGate
1830,ScottFreeProductions 1984PrivateDefenseContractors LDEntertainment OpenRoadFilms InfernoDistribution ChambaraPictures
1831,TwentiethCenturyFoxFilmCorporation Fox2000Pictures JosephsonEntertainment MBCBeteiligungsFilmproduktion
1832,ApatowProductions
1833,WinklerFilms
1834,SplendidPictures MaverickFilms Metro-Goldwyn-Mayer(MGM) DylanSellersProductions MadacyEntertainment
1835,UniversalPictures ThreeStrangeAngels StudioCanal Metro-Goldwyn-Mayer(MGM) WorkingTitleFilms NannyMcPheeProductions
1836,UniversalPictures
1837,TouchstonePictures
1838,ColumbiaPictures HemdaleFilmCorporation RecordedPicturesCompany Soprofilms TAOFilm Yanco
1839,UniversalPictures StudioCanal RelativityMedia LeverageManagement ClosesttotheHoleProductions FarradayFilms LeverageEntertainment WorkingTitleFilms BlueeyesProductions
1840,NewLineCinema
1841,MiramaxFilms GhoulardiFilmCompany ParamountVantage
1842,ParamountPictures NickelodeonMovies ParamountAnimation
1843,NickelodeonMovies ParamountAnimation
1844,UniversalPictures
1845,DiNoviPictures AlconEntertainment AlloyEntertainment
1846,TwentiethCenturyFoxFilmCorporation CurrentEntertainment ImmortalEntertainment Canal+ EuropaCorp QualityGrowthInternationalLtd.
1847,ColumbiaPictures HappyMadisonProductions RelativityMedia AltaLomaEntertainment
1848,Metro-Goldwyn-Mayer(MGM)
1849,WaltDisneyPictures
1850,TheWeinsteinCompany WaldenMedia TonikProductions AsisProductions
1851,DiNoviPictures GerberPictures GaylordFilms WarnerBros. SloaneSquareFilms HSITomorrowFilm
1852,UnitedArtists AmericanZoetrope MyriadPictures JeepersCreepersII
1853,Lionsgate KarzEntertainment
1854,SilverPictures WarnerBros.
1855,ParamountPictures MiramaxFilms ScottRudinProductions
1856,DreamWorksSKG LakeshoreEntertainment
1857,TigerAspectProductions WorkingTitleFilms
1858,ScreenGems MiddleForkProductions
1859,WildBunch LGMProductions LesProductionsduTrésor MarsDistribution Canal+ FranceTélévision WorldviewEntertainment Ciné+ M6 France3Cinema CaneoFilms GrisbiProductions France4 W9 Chi-Fou-MiProductions TreasureCompany
1860,WarnerBros. CJEntertainment SouthpawEntertainment
1861,ChannelFourFilms PolyGramFilmedEntertainment WorkingTitleFilms
1862,UniversalPictures MidwinterProductionsInc.
1863,TwentiethCenturyFoxFilmCorporation
1864,ColumbiaPicturesCorporation
1865,TwentiethCenturyFoxFilmCorporation MichaelDeLucaProductions RoughHousePictures
1866,ParamountPictures MTVFilms WayansBros.Entertainment
1867,CastleRockEntertainment
1868,BungalowProductions SilverLionFilms VisionViewEntertainment
1869,MotionPictureCorporationofAmerica Metro-Goldwyn-Mayer(MGM)
1870,ParamountPictures ClosesttotheHoleProductions LeverageEntertainment Chartoff-WinklerProductions
1871,JeanDoumanianProductions SmokehousePictures
1872,WaltDisneyPictures BridgetJohnsonFilms SkateAwayProductions
1873,MileHighProductions KevinMessickProductions TouchstonePictures BeaconPictures
1874,StudioBabelsberg TwentiethCenturyFoxFilmCorporation MarvFilms SavilleProductions
1875,40Acres&AMuleFilmworks TouchstonePictures
1876,NewLineCinema AmericanZoetrope
1877,ScreenGems
1878,DCComics WeedRoadPictures DarkCastleEntertainment WarnerBros. DCEntertainment
1879,MiramaxFilms GranViaProductions FilmDistrict Necropia TequilaGang
1880,MosaicMediaGroup CurrentEntertainment Lionsgate FierceEntertainment ProvinceofBritishColumbiaProductionServicesTaxCredit RogueFilms
1881,ColumbiaPictures NewLineCinema GhoulardiFilmCompany
1882,DreamWorksSKG TheMontecitoPictureCompany BlueSeaProductions
1883,FranchisePictures ScreenGems
1884,
1885,UnitedArtists MirageEnterprises CSTTelecommunications StarPartners
1886,NewLineCinema TheKushner-LockeCompany SavoyPictures
1887,WaltDisneyPictures
1888,MediaRightsCapital LinPictures WarnerBros. DarkoEntertainment RadarPictures
1889,SpyglassEntertainment PacificFilmandTelevisionCommission DreamWorksPictures RedHourFilms InternationaleFilmproduktionPrometheus
1890,ParamountPictures LakeshoreEntertainment
1891,RelativityMedia Rogue
1892,RegencyEnterprises EpsilonMotionPictures NewRegencyPictures Daybreak
1893,ColumbiaPictures
1894,ColumbiaPictures ImagineEntertainment RevolutionStudios
1895,WorkingTitleFilms CrossCreekPictures AntonCapitalEntertainment(ACE)
1896,ParamountPictures
1897,IncentiveFilmedEntertainment
1898,ParamountPictures UniversalPictures
1899,SummitEntertainment Lionsgate
1900,TriStarPictures Golan-Globus Easedram
1901,WildwoodEnterprises AmericanFilmCompany
1902,ColumbiaPictures TriStarPictures
1903,AlconEntertainment PhoenixPictures Fabula HalfCircle
1904,TwentiethCenturyFoxFilmCorporation TAFTEntertainmentPictures
1905,TF1FilmsProduction QuadProductions
1906,SolarisFilm Lionsgate MimranSchurPictures Filmtribe
1907,GeffenPictures WarnerBros.
1908,TriStarTelevision Esparza/KatzProductions
1909,ParamountPictures ScottRudinProductions MTVFilms PeircePictures
1910,ParamountPictures SpyglassEntertainment TouchstonePictures
1911,TwentiethCenturyFoxFilmCorporation Fox2000Pictures AdamFieldsProductions TwoGirlsProductions
1912,GhostHousePictures NorthBoxProductions
1913,TriStarPictures
1914,BattleplanProductions
1915,MiramaxFilms TheMarkGordonCompany YariFilmGroup BobYariProductions
1916,StoneGroupPictures VisionInternational
1917,2929Productions DimensionFilms NickWechslerProductions ChockstonePictures
1918,ColumbiaPicturesCorporation DelphiIIProductions ColgemsProductionsLtd.
1919,MiramaxFilms
1920,TwentiethCenturyFoxFilmCorporation ConundrumEntertainment SayItIsn'tSoProductions
1921,NewZealandFilmCommission 2929Productions OLC/RightsEntertainment Tanlay NewZealandFilmProductionFund 3DogsandaPony ParkRoadPost WFIProductionsLtd.
1922,TrilogyEntertainmentGroup
1923,
1924,RhombusMedia O2Filmes TéléfilmCanada BeeVinePictures AllianceFilms AsmikAceEntertainment GAGA FoxFilmesdoBrasil Ancine BNDES CinemaInvestment CorusEntertainment MovieCentralNetwork
1925,BollKG
1926,WildBunch ZanagarFilms Canal+ ConstantinFilmProduktion CinéCinéma VersátilCinema SBSProductions PolskiInstytutSztukiFilmowej FranceTélévisions France2Cinéma SPIFilmStudio
1927,SerendipityPointFilms
1928,ReelFXCreativeStudios
1929,Cruise/WagnerProductions WarnerBros.
1930,IsleofManFilm FreestyleReleasing CinemaNX
1931,PacoCinematografica WarnerBros. RegioneLazio BusinessLocationSudtirolAltoAdige FriuliVeneziaGiuliaFilmCommission UniCreditGroup
1932,SaturnFilms NuImageFilms EdwardR.PressmanFilm MillenniumFilms PolskyFilms OsirisProductions LieutenantProductions
1933,MotionInvestmentGroup nWavePictures IlluminataPictures
1934,M6Films LesProductionsduTrésor EuropaCorp
1935,CapitolFilms RisingStar
1936,HeroldandFamily
1937,CNFilm
1938,IngeniousMedia Fox2000Pictures ScottFreeProductions Kanzaman NickWechslerProductions BigScreenProductions ChockstonePictures Translux TSGEntertainment
1939,RisingStar PremierePicture MythicInternationalEntertainment Film&EntertainmentVIPMedienfonds4GmbH&Co.KG(I) WalesCreativeIPFund SilverReel PerpetualMediaCapital MolinareInvestment VIP4Medienfonds ContentFilmInternational
1940,ParamountPictures DinodeLaurentiisCinematografica Mosfilm
1941,AldamisaEntertainment MVPFilms InvestCapitalFilmGroup LiveScreenPictures
1942,LorimarFilmEntertainment WarnerBros. NFHProductions
1943,AmericanZoetrope France2Cinéma VideoFilmes VanguardFilms Canal+ SPADFilms MK2Productions Film4 Ciné+ FranceTélévisions NomadicPictures Kramer&SigmanFilms JerryLeiderCompany
1944,ParamountPictures
1945,ColumbiaPictures RevolutionStudios RogueMarble Metro-Goldwyn-Mayer(MGM)
1946,MiramaxFilms KonradPictures MavenEntertainment DimensionFilms
1947,HandsomecharlieFilms UnanimousPictures StraightUpFilms 1821Pictures ScottPictures
1948,WillPackerProductions
1949,FranchisePictures WarnerBros. MorganCreekProductions NineYardsProductions RationalPackagingCompany LansdownFilms
1950,ParamountPictures IndieProdCompanyProductions
1951,DreamWorksSKG TheMontecitoPictureCompany
1952,TriStarPictures
1953,ColumbiaPictures MandalayEntertainment SummerKnowledgeLLC
1954,Metro-Goldwyn-Mayer(MGM) JLTProductions
1955,BlueAskew ViewAskewProductions
1956,GramercyPictures USAFilms Intermedia
1957,BBCFilms SmokeHouse RubyFilms
1958,TouchstonePictures
1959,ColumbiaPicturesCorporation 3ArtsEntertainment GlobalEntertainmentProductionsGmbH&CompanyMedienKG RedWagonEntertainment
1960,DreamWorksSKG
1961,ColumbiaPictures JimHensonCompany The
1962,UniversalPictures MotownProductions
1963,BelAirEntertainment WarnerBros.
1964,TouchstonePictures
1965,TheWeinsteinCompany
1966,TheWeinsteinCompany AtmosphereEntertainmentMM ChakoFilmCompany DimensionFilms IntellectualPropertiesWorldwide Aja/LevasseurProductions
1967,Lionsgate
1968,WaltDisneyPictures
1969,MiramaxFilms AlliedFilmmakers RichardWilliamsProductions
1970,
1971,CastleRockEntertainment TriStarPictures StateStreetPictures CBSFilms
1972,ColumbiaPictures RelativityMedia Pariah
1973,TouchstonePictures
1974,Lucasfilm TwentiethCenturyFoxFilmCorporation
1975,ColumbiaPictures DonSimpson/JerryBruckheimerFilms
1976,ParamountPictures
1977,NewLineCinema Zide-PerryProductions HardEightPictures
1978,AppianWay CrystalCityEntertainment CrossCreekPictures ExclusiveMediaGroup SmokehousePictures
1979,InterscopeCommunications
1980,Fox2000Pictures LyndaObstProductions
1981,WarnerBros. AnnapurnaPictures
1982,RegencyEnterprises EpsilonMotionPictures LivePlanet NewRegencyPictures BadRobot
1983,MatadorPictures ArcadiaMotionPictures uFilm AfroditaAudiovisual A.I.E. LeTaxShelterduGouvernementFédéraldeBelgique TelefónicaProducciones Umedia EntertainmentMotionPictures CinemaOne NixFilms InternationalPicturesTwo CronosEntertainmentAIE
1984,TwentiethCenturyFoxFilmCorporation Fox2000Pictures
1985,TouchstonePictures
1986,IrishFilmBoard RelativityMedia
1987,UniversalPictures
1988,MiramaxFilms ScottRudinProductions TribecaProductions
1989,CubeVision
1990,ColumbiaPicturesCorporation
1991,Metro-Goldwyn-Mayer(MGM) Krisjair Laredo
1992,SummitEntertainment BlackfriarsBridgeFilms NALAFilms SamuelsMedia WarnerIndependentPictures(WIP)
1993,France2Cinéma HautetCourt SCOPEInvest Ciné@ Canal+ WarnerBros. CinéCinéma ScopePictures Soficapital France2(FR2) LeTaxShelterduGouvernementFédéraldeBelgique Cofinova5 FilmsDistribution BanquePopulaireImages9
1994,MindsEyeEntertainment PanaceaEntertainment MovingPicturesMedia
1995,PathéRennProductions UKFilmCouncil AramidEntertainmentFund Canal+ BillKenwrightFilms Pathe DeutscheFilmförderfonds(DFFF) RégionIle-de-France France3Cinema CentreNationaldelaCinématographie(CNC) NationalLotterythroughUKFilmCouncil FilmstiftungNordrhein-Westfalen CineProductions MMCStudios TiggyFilms BanquePopulaireImages9 CheriProductions ErsteMMC-Production
1996,AllianceFilms FocusFeatures
1997,TheWeinsteinCompany DiBonaventuraPictures DimensionFilms
1998,BrooksfilmsLtd. Metro-Goldwyn-Mayer(MGM)
1999,HopscotchFeatures FearofGodFilms
2000,ParamountPictures
2001,TwentiethCenturyFoxFilmCorporation
2002,WaltDisneyPictures HollywoodPictures
2003,WaltDisneyPictures GranViaProductions 98MPHProductions
2004,WaltDisneyPictures MayhemPictures MonkeyDanceProductions
2005,AmblinEntertainment MalpasoProductions WarnerBros.
2006,RevolutionStudios HappyMadisonProductions
2007,ColumbiaPictures GoldcrestFilmsInternational Indo-British InternationalFilmInvestors NationalFilmDevelopmentCorporationofIndia CarolinaBank
2008,AmblinEntertainment HarpoFilms ParticipantMedia ImagenationAbuDhabiFZ RelianceEntertainment TouchstonePictures DreamWorksStudios
2009,ColumbiaPictures
2010,NewLineCinema
2011,HearstEntertainmentProductions LightWorkersMedia
2012,LakeshoreEntertainment Laurinfilm SubterraneanProductionsLLC SubterraneanProductionsUKLtd. UnderworldProduktionsGmbH
2013,MiramaxFilms DiBonaventuraPictures PatalexVProductionsLimited
2014,SectionEight GroundswellProductions WarnerBros. ParticipantMedia Jaffe/BraunsteinEnterprise
2015,ShadowlandsProductions SavoyPictures
2016,ColumbiaPicturesCorporation OutoftheBlue...Entertainment HappyMadisonProductions
2017,DreamWorksSKG TouchstonePictures
2018,StudioCanal Film4 AntonCapitalEntertainment(ACE) TheInkFactory PotboilerProductions AmazonPrimeInstantVideo
2019,VillageRoadshowPictures NPVEntertainment ColumbiaPicturesCorporation
2020,Fox2000Pictures
2021,40Acres&AMuleFilmworks TouchstonePictures
2022,DimensionFilms ViewAskewProductions Miramax
2023,OriginalFilm
2024,UniversalPictures MikeZossProductions WorkingTitleFilms
2025,UniversalPictures MarcPlattProductions Metro-Goldwyn-Mayer(MGM) RiverdaleProductions
2026,MillenniumFilms OpenRoadFilms
2027,NewLineCinema
2028,FoxSearchlightPictures ScottRudinProductions QwertyFilms N1EuropeanFilmProduktionsGmbH&Co.KG Kanzeon Huckabee's
2029,OrionPictures
2030,InfinityOmnimedia TBNFilms
2031,ParamountPictures GeoffreyProductions
2032,UniversalPictures JosephM.SingerEntertainment DavisEntertainment
2033,EuropaCorp
2034,FirstChoiceFilms IsleofManFilm
2035,CoBoFund StudioBabelsberg MotelFilms MotionInvestmentGroup EgoliTossellFilmAG Filmförderungsanstalt(FFA) NederlandsFondsvoordeFilm MedienboardBerlin-Brandenburg uFilm LeTaxShelterduGouvernementFédéraldeBelgique FuWorks HectorBV MediaProgrammeoftheEuropeanCommunity EuroimagesFundoftheCouncilofEurope VIP4Medienfonds ContentFilmInternational ClockworkPictures
2036,SenatorFilmProduktion MediaProPictures TF1FilmsProduction Nord-OuestProductions TheBureau ArtémisProductions LesProductionsdelaGuéville
2037,PrimatePictures KimandJimProductions PanayFilms ExclusiveMediaGroup
2038,MillenniumFilms vertureFilms
2039,StudioCanal ScottFreeProductions MillenniumFilms FilmiVäst FilmgateFilms ClariusEntertainment
2040,ParamountPictures UniversalPictures FilmPropertiesInternationalN.V.
2041,StoneProductions MimranSchurPictures
2042,
2043,AppianWay ScottFreeProductions RelativityMedia EnergyEntertainment RedGranitePictures
2044,CastleRockEntertainment MirageEnterprises SectionEightProductions
2045,WarnerBros. StorylineEntertainment PetersEntertainment
2046,LakeshoreEntertainment ScreenGems ArlingtonRoadProductionsCorporation Gorai/SamuelsonProductions SamuelsonProductions
2047,100Bares MinisteriodeCultura InstitutodeCréditoOficial(ICO) TelevisiónFederal(Telefe) 369Productions CatmanduBrandedEntertainment JEMPSA Plural-Jempsa PranaAnimationStudios
2048,GravierProductions MedusaFilm Mediapro PerdidoProductions
2049,MalpasoProductions
2050,ParamountPictures ScottRudinProductions ComedyCentral WarnerBros. ComedyCentralFilms ComedyPartners
2051,SidneyKimmelEntertainment ParabolicPictures StableWayEntertainment TargetMediaEntertainment VIP2Medienfonds VIP1Medienfonds
2052,NewLineCinema GoldenHarvestPictures ClearwaterHoldingsLimited
2053,ParamountPictures GHSProductionsKG MunichFilmPartners&Company(MFP)GHSProductions Nides/McCormickProductions
2054,TheWeinsteinCompany
2055,DoubleFeatureFilms JerseyFilms KernosFilmproduktionsgesellschaft&Company
2056,LionsGateFilms
2057,TF1FilmsProductions CurrentEntertainment Canal+ EuropaCorp
2058,SummitEntertainment MandalayPictures BaumgartenManagementandProductions(BMP)
2059,UnitedArtists RedBankFilms
2060,NealStreetProductions FocusFeatures BigBeachFilms
2061,TouchstonePictures
2062,PunchProductions TouchstonePictures HydeParkEntertainment RevealEntertainment GranVia
2063,StudioCanal KinoweltFilmproduktion Canal+ CinéCinéma WorkingTitleFilms KarlaFilms
2064,Metro-Goldwyn-Mayer(MGM) AbsoluteEntertainment(II) Cockamamie Heckerling-Caplan
2065,SummitEntertainment ParticipantMedia ImagenationAbuDhabiFZ AnonymousContent
2066,UniversalPictures RKO
2067,AllianceAtlantisCommunications NaturalNylonEntertainment SerendipityPointFilms TéléfilmCanada TheHaroldGreenbergFund TheMovieNetwork UnionGénéraleCinématographique CanadianTelevisionFund
2068,Lucasfilm ParamountPictures
2069,TwentiethCenturyFoxFilmCorporation HughesEntertainment
2070,ColumbiaPicturesCorporation EMIFilms JuliaPhillipsandMichaelPhillipsProductions
2071,DimensionFilms
2072,ParamountPictures EddieMurphyProductions DonSimpson/JerryBruckheimerFilms
2073,HydeParkFilms TouchstonePictures
2074,OrionPictures StrongHeart/DemmeProduction
2075,ParamountPictures
2076,MTVFilms
2077,UniversalPictures
2078,WaltDisneyPictures
2079,NewLineCinema TheSafranCompany EvergreenMediaGroup
2080,ColumbiaPictures RevolutionStudios CubeVision
2081,NewLineCinema GarySanchezProductions
2082,ParamountPictures ScottRudinProductions NickelodeonMovies NEWCentury MFPMunichFilmPartnersGmbH&CompanyI.ProduktionsKG SorProductions
2083,NewLineCinema ThresholdEntertainment
2084,ColumbiaPictures RevolutionStudios WayansBros.Entertainment GoneNorthProductions
2085,FoxSearchlightPictures DuneEntertainment AdHominemEnterprises
2086,WaltDisneyPictures ChicagoPacificEntertainment WaldenMedia PhoenixPictures
2087,TouchstonePictures
2088,PlanBEntertainment RegencyEnterprises RiverRoadEntertainment Film4 NewRegencyPictures
2089,Fox2000Pictures
2090,LionsGateFilms TheTylerPerryCompany
2091,TwentiethCenturyFoxFilmCorporation
2092,NewLineCinema SunsweptEntertainment Metro-Goldwyn-Mayer(MGM)
2093,TylerPerryCompany The
2094,TwentiethCenturyFoxFilmCorporation D'AntoniProductions Schine-MooreProductions
2095,STXEntertainment HuayiBrothersPictures BillBlockMedia
2096,RegencyEnterprises EpsilonMotionPictures NewRegencyPictures
2097,WaltDisneyPictures WaltDisneyTelevisionAnimation WaltDisneyAnimationAustralia DisneyToonStudios WaltDisneyAnimationCanada
2098,PlanBEntertainment HarpoFilms CeladorFilms CloudEightFilms Pathé
2099,WaltDisneyPictures WaltDisneyTelevisionAnimation WaltDisneyAnimationAustralia DisneyToonStudios
2100,GhostHousePictures SenatorInternational ScreenGems PacificRenaissancePicturesLtd.
2101,TriStarPictures HydeParkFilms OffspringEntertainment
2102,WaltDisneyPictures
2103,DarkCastleEntertainment StudioBabelsbergStudioBabelsbergMotionPictures DonCarmodyProductions StudioCanal
2104,SunsweptEntertainment WarnerBros. Metro-Goldwyn-Mayer(MGM) ReelChefsCatering
2105,TwentiethCenturyFoxFilmCorporation RegencyEnterprises NewRegencyPictures PaulSchiffProductions
2106,UniversalPictures ParticipantMedia AnonymousContent Rocklin/Faust FirstLookMedia
2107,ScreenGems OverbrookEntertainment
2108,ColumbiaPicturesCorporation GhostHousePictures VertigoEntertainment
2109,TwentiethCenturyFoxFilmCorporation
2110,OrionPictures NelsonEntertainment
2111,UniversalPictures MorganCreekProductions
2112,WaltDisneyProductions
2113,ThisIsThatProductions FocusFeatures TwinsFinancing SmokehousePictures GreenlitRights
2114,QProductions Esparza/KatzProductions
2115,RegencyEnterprises RoadRebel
2116,ParamountVantage MediaRightsCapital AnonymousContent CentralFilms
2117,SpringCreekProductions 21LapsEntertainment WarnerBros.
2118,ScottRudinProductions GoodspeedProductions
2119,ParamountPictures ScottRudinProductions
2120,NuImageFilms LionsGate
2121,RegencyEnterprises NewRegencyPictures
2122,DimensionFilms
2123,ParamountPictures MalpasoProductions AlanJayLernerProductions
2124,FocusFeatures
2125,ColumbiaPictures AffirmFilms LDEntertainment PatrickAielloProductions
2126,VillageRoadshowPictures NPVEntertainment DarkCastleEntertainment WarnerBros. GhostShipFilmsPty.Ltd.
2127,NewLineCinema MandatePictures
2128,ColumbiaPictures MandalayEntertainment
2129,ScreenGems
2130,MiramaxFilms MarvFilms PioneerPictures
2131,BuenaVista TouchstonePictures
2132,IntermediaFilms AlconEntertainment KadokawaPictures EquityPicturesMedienfondsGmbH&Co.KGIV
2133,ParamountPictures
2134,AtlasEntertainment MosaicMediaGroup OmnilabMedia RelativityMedia Skyline(BakerSt)
2135,AnonymousContent ThisIsThatProductions FocusFeatures
2136,OopsDoughnutsProductions TouchstonePictures FrontierPictures
2137,FoxSearchlightPictures RegencyEnterprises DuneEntertainmentIII Emmett/FurlaFilms
2138,UniversalPictures BigTalkProductions FocusFeatures WorkingTitleFilms
2139,VirtualStudios JerryWeintraubProductions WarnerBros.
2140,Lionsgate FurstFilms PicturesinParadise PacificFilmandTelevisionCommission AustralianFilmFinanceCorporation(AFFC)
2141,DreamWorksSKG Mosaic
2142,DuneEntertainment RegencyEnterprises Fox2000Pictures DiNoviPictures DuneEntertainmentIII BlossomFilms
2143,SpyglassEntertainment HollywoodPictures EndgameEntertainment WonderlandSoundandVision
2144,Pathe Metro-Goldwyn-Mayer(MGM)
2145,LionsGateFamilyEntertainment RelativityMedia CrestAnimationProductions
2146,ScreenGems Inc.
2147,SpyglassEntertainment TouchstonePictures KaltenbachPictures
2148,WarnerBros.Pictures
2149,TheRankOrganisation ColumbiaPicturesCorporation
2150,Lionsgate AllisonShearmurProductions KeepYourHead
2151,NewLineCinema GroundswellProductions AxonFilms
2152,ColumbiaPictures LargoEntertainment JVCEntertainmentNetworks FilmOffice SpookyToothProductions StormKingProductions
2153,ParamountPictures UniversalPictures ShamleyProductions
2154,Lionsgate NewWaveEntertainment Management360 TerraFirmaFilms SuperfingerEntertainment
2155,UniversalPictures FakeEmpire BluegrassFilms
2156,UniversalPictures MorganCreekProductions
2157,
2158,TwentiethCenturyFoxFilmCorporation WarnerBros.
2159,CaravanPictures HollywoodPictures
2160,ColumbiaPictures HappyMadisonProductions SunlightProductions RelativityMedia Madison23
2161,ParamountVantage RiverRoadEntertainment ArtLinsonProductions IntotheWild
2162,DimensionFilms
2163,Davis-Films KonamiCorporationLtd.
2164,ABandApart DimensionFilms LosHooligansProductions Miramax
2165,WaltDisneyPictures
2166,ParamountPictures EggPictures PolyGramFilmedEntertainment
2167,WaltDisneyPictures
2168,DreamWorksSKG MacDonald/ParkesProductions SidneyKimmelEntertainment NealStreetProductions ChinaFilmCo-ProductionCorporation WonderlandFilms ParticipantMedia EbelingGroup BeijingHappyPicturesCulturalCommunicationsCo. KiteRunnerHoldings
2169,ThisIsThatProductions YProductions MedianaProductionsFilmgesellschaft
2170,IconProductions TwentiethCenturyFoxFilmCorporation IconEntertainmentInternational
2171,Metro-Goldwyn-Mayer(MGM) DavidLaddFilms
2172,ColumbiaPictures
2173,TheWeinsteinCompany ParamountVantage
2174,GeorgeStevensProductions
2175,IngeniousMedia GranViaProductions IMGlobal STXEntertainment RouteOneEntertainment UnionInvestmentPartners SITEProductions Willie'sMovies
2176,GrosvenorParkMediaLtd. LionsGate 3intheBox
2177,ScreenGems StarsRoadEntertainment FarahFilms&Management BuckarooEntertainment
2178,RegencyEnterprises TaurusFilms PolarProductions WarnerBros.
2179,RegencyEnterprises Contrafilm NewRegencyPictures
2180,Canal+ EuropaCorp Ciné+
2181,ColumbiaPictures CastleRockEntertainment NPVEntertainment DreamWorksPictures BaltimoreSpringCreekProductions NuImage/MillenniumFilms
2182,LakeshoreEntertainment Lionsgate RadicalMedia
2183,MiramaxFilms
2184,Gener8XionEntertainment
2185,MiramaxFilms IntermediaFilms MirageEnterprises
2186,ParamountPictures EscapeArtists KumarMobiliengesellschaftmbH&Co.ProjektNr.2KG
2187,MiramaxFilms AmenRaFilms
2188,DreamWorksSKG SpyglassEntertainment Pariah
2189,TheMarkGordonCompany FoxAtomic 20thCenturyFoxHomeEntertainment WWEStudios MidnightSunPictures
2190,HammerFilmProductions EFTI ExclusiveMediaGroup OvertureFilms
2191,TriStarPictures SheenProductions Ben-Ami/LeedsProductions
2192,NewLineCinema Partizan FocusFeatures
2193,
2194,WorldviewEntertainment AnonymousContent MadRiverPictures SierraPictures SurefireCapital
2195,FineLineFeatures
2196,VillageRoadshowPictures WarnerBros.
2197,DoubleFeatureFilms PeaPieFilms 3ArtsEntertainment
2198,ParamountPictures
2199,MiramaxFilms
