,0,title
1829,TommyLeeJones JavierBardem JoshBrolin WoodyHarrelsonCrime Drama Thrillertexas drugtraffic hitman unitedstates–mexicobarrier suspenseMiramaxFilms ScottRudinProductions ParamountVantage MikeZossProductionsUnitedStatesofAmerica,No Country for Old Men
1830,IceCube KevinHart JohnLeguizamo BruceMcGillAction Comedypoliceoperation policeofficer brother-in-lawbrother-in-lawrelationship duringcreditsstinger blackmenUniversalPictures RainforestFilms CubeVision RelativityMediaUnitedStatesofAmerica,Ride Along
1831,RenéeZellweger ColinFirth HughGrant GemmaJonesComedy Romance Dramaholiday londonengland england alcohol sex lovesickness telecaster birthday christmasparty newsbroadcast sexualfrustration diary cigarette daughter motherdaughterrelationship lawyer reporter extramaritalaffair duringcreditsstinger womandirector christmasMiramaxFilms UniversalPictures StudioCanal WorkingTitleFilms LittleBirdFrance Ireland UnitedKingdom UnitedStatesofAmerica,Bridget Jones's Diary
1832,JulietteBinoche AlfredMolina JohnnyDepp JudiDenchComedy Drama Romancechocolate mayor praline single motherdaughterrelationshipMiramaxFilms DavidBrownProductions FatFreeUnitedKingdom UnitedStatesofAmerica,Chocolat
1833,ReeseWitherspoon SallyField ReginaKing JenniferCoolidgeComedywashingtond.c. boston chambersofabarrister tierversuch lawyerTypeAFilms MarcPlattProductions Metro-Goldwyn-Mayer(MGM)UnitedStatesofAmerica,"Legally Blonde 2: Red, White & Blonde"
1834,BillyCrystal BetteMidler MarisaTomei TomEverettScottComedynanTwentiethCenturyFoxFilmCorporation DuneEntertainment DuneEntertainmentIII CherninEntertainment WaldenMedia FaceProductionsUnitedStatesofAmerica,Parental Guidance
1835,NataliePortman AshtonKutcher KevinKline CaryElwesComedy Romancefathersonrelationship casualmeeting studentofmedicine friends valentine malefemalerelationship openrelationship sexualhumor bestfriend casualsex bestfriendsinlove duringcreditsstinger fling fathersonconflict friendswithbenefitKatalystFilms TheMontecitoPictureCompany HandsomecharlieFilmsUnitedStatesofAmerica,No Strings Attached
1836,KurtRussell ValKilmer SamElliott BillPaxtonAction Adventure Drama History Westernretirement wyattearp rightandjustice historicalfigureHollywoodPictures CinergiPicturesEntertainmentUnitedStatesofAmerica,Tombstone
1837,JetLi Aaliyah IsaiahWashington RussellWongAction Crime Thrillermartialarts hip-hop oakland asian asianman asianleadSilverPictures WarnerBros.UnitedStatesofAmerica,Romeo Must Die
1838,GregoryPeck LeeRemick DavidWarner BillieWhitelawHorror Thrillermonk prophecy ambassador nanny rottweiler devil'sson revelation aggressionbyanimal photography paranormalphenomena cowardliness archaeologistTwentiethCenturyFoxFilmCorporation MaceNeufeldProductionsUnitedKingdom UnitedStatesofAmerica,The Omen
1839,MaryElizabethWinstead RyanMerriman KrisLemche AlexzJohnsonHorror Mysterybeheading dyinganddeath strokeoffateNewLineCinema Zide-PerryProductions KumarMobiliengesellschaftmbH&Co.ProjektNr.1KG HardEightPictures MatineePictures PracticalPicturesCanada Germany UnitedStatesofAmerica,Final Destination 3
1840,ZacEfron BlytheDanner TaylorSchilling JayR.FergusonDrama Romancebasedonnovel wifehusbandrelationship photo kennel playingchess bombexplosion iraqveteranVillageRoadshowPictures DiNoviPictures WarnerBros. LangleyParkProductionUnitedStatesofAmerica,The Lucky One
1841,JoshHutcherson AnnaSophiaRobb RobertPatrick ZooeyDeschanelAdventure Drama Familybrothersisterrelationship friendship bullying neighbor school drawing basedonchildren'sbook schoolbus imagination creek clubhouse realityvsfantasy outsider fantasyworld overflowingwithimaginationWaldenMedia HalLiebermanCompany LaurenLevineProductionsInc.UnitedStatesofAmerica,Bridge to Terabithia
1842,JohnnyDepp KateWinslet JulieChristie DustinHoffmanDramalondonengland scotland parentskidsrelationship becominganadult fantasy motherrole childhoodmemory success widow theatreplay strokeoffate costume peterpan theatregroup adventure lossofhusband marriagecrisis theatremilieu friendship faith single motherdaughterrelationship author pirate illness spectacle childMiramaxFilms FilmColonyUnitedKingdom UnitedStatesofAmerica,Finding Neverland
1843,TylerPerry AnnaMariaHorsford TikaSumpter EricLivelyComedy DramachristmasLionsGateUnitedStatesofAmerica,A Madea Christmas
1844,LiamNeeson DermotMulroney FrankGrillo DallasRobertsAction Drama Thrilleralcohol isolation wolf wilderness forest stranded alaska survival airplanecrash fear howling death animalkilling freezing animalattack campfire malecamaraderie guninmouth aftercreditsstinger barfight eatenalive eatenbyanimalScottFreeProductions 1984PrivateDefenseContractors LDEntertainment OpenRoadFilms InfernoDistribution ChambaraPicturesCanada UnitedStatesofAmerica,The Grey
1845,RobertDeNiro DakotaFanning FamkeJanssen ElisabethShueHorror Mystery Thrillerhouse imaginaryfriend suspense lossofwifeTwentiethCenturyFoxFilmCorporation Fox2000Pictures JosephsonEntertainment MBCBeteiligungsFilmproduktionUnitedStatesofAmerica,Hide and Seek
1846,WillFerrell ChristinaApplegate PaulRudd DavidKoechnerComedyjournalism sexism ladder panda tvshowinfilm mustache misogynist newsroom teleprompter gangwarfare aftercreditsstinger duringcreditsstinger newsspoofApatowProductionsUnitedStatesofAmerica,Anchorman: The Legend of Ron Burgundy
1847,RobertDeNiro RayLiotta JoePesci LorraineBraccoDrama Crimeprison basedonnovel florida 1970s massmurder irish-american drugtraffic biography basedontruestory murder organizedcrime gore mafia gangster newyorkcity extremeviolence violence brooklynnewyorkcity crimeepic tampaWinklerFilmsUnitedStatesofAmerica,GoodFellas
1848,FrankieMuniz HilaryDuff AngieHarmon KeithDavidActionspy cia killerrobot delinquent teenspySplendidPictures MaverickFilms Metro-Goldwyn-Mayer(MGM) DylanSellersProductions MadacyEntertainmentCanada UnitedStatesofAmerica,Agent Cody Banks
1849,EmmaThompson ColinFirth KellyMacdonald ThomasBrodie-SangsterFantasy Comedy Familylossofmother nanny education wizardry children singlefatherUniversalPictures ThreeStrangeAngels StudioCanal Metro-Goldwyn-Mayer(MGM) WorkingTitleFilms NannyMcPheeProductionsFrance UnitedKingdom UnitedStatesofAmerica,Nanny McPhee
1850,AlPacino StevenBauer MichellePfeiffer MaryElizabethMastrantonioAction Crime Drama Thrillermiami corruption capitalism cuba prohibition brothersisterrelationship lossofsister cocaine cultfilm bitternessUniversalPicturesUnitedStatesofAmerica,Scarface
1851,TimRobbins MartinLawrence JohnC.McGinley KellyPrestonAction Adventure Comedyrapmusic infidelity securitycamera loss crook sociopath revenge artifact fword racism criminal ontheroad desert securityguard shoplifting screwball recklessdriving roadmovie buddycomedy unlikelyfriendship carjacker advertisingexecutive suv aftercreditsstingerTouchstonePicturesUnitedStatesofAmerica,Nothing to Lose
1852,JohnLone PeterO'Toole JoanChen DennisDunDrama Historybuddhism japan suicide china suicideattempt warcrimes becominganadult isolation warondrugs revolution emperor arrangedmarriage manchuria dynasty reeducationcamp culturalrevolution humanexperimentation war coupd'etat teacher beijing decadence communismColumbiaPictures HemdaleFilmCorporation RecordedPicturesCompany Soprofilms TAOFilm YancoFrance China UnitedKingdom Italy,The Last Emperor
1853,MarkWahlberg KateBeckinsale BenFoster GiovanniRibisiThriller Action Drama Crimeheadwound criminal securityguard contrabandUniversalPictures StudioCanal RelativityMedia LeverageManagement ClosesttotheHoleProductions FarradayFilms LeverageEntertainment WorkingTitleFilms BlueeyesProductionsUnitedStatesofAmerica UnitedKingdom France,Contraband
1854,ChrisTucker CharlieSheen HeatherLocklear PaulSorvinoAction Adventure Comedyprison diamant liberationofprisoners transportofprisoners interview arrestNewLineCinemaUnitedStatesofAmerica,Money Talks
1855,DanielDay-Lewis PaulDano DillonFreasier CiaránHindsDramabrotherbrotherrelationship deaf-mute americandream fanatic pipeline petrol father stepfather oil money killer alcoholicMiramaxFilms GhoulardiFilmCompany ParamountVantageUnitedStatesofAmerica,There Will Be Blood
1856,LaceyChabert TomKane CreeSummer TimCurryAnimation Adventure Familysistersisterrelationship safari wildlife baboon chimpanzee womandirectorParamountPictures NickelodeonMovies ParamountAnimationUnitedStatesofAmerica,The Wild Thornberrys Movie
1857,E.G.Daily NancyCartwright KathSoucie DionneQuanAnimation FamilykidsandfamilyNickelodeonMovies ParamountAnimationUnitedStatesofAmerica,Rugrats Go Wild
1858,EddieGriffin ChrisKattan DeniseRichards AunjanueEllisAction Comedyusapresident doublelife policyandorganisations undercover intelligence partner duringcreditsstingerUniversalPicturesUnitedStatesofAmerica,Undercover Brother
1859,AmberTamblyn AlexisBledel AmericaFerrera BlakeLivelyDrama Comedyholiday femalefriendship jeans comingofage teenagegirl summer basedonyoungadultnovelDiNoviPictures AlconEntertainment AlloyEntertainmentUnitedStatesofAmerica,The Sisterhood of the Traveling Pants
1860,JetLi BridgetFonda TchékyKaryo MaxRyanAction Crime Thrillerparis prostitute drugTwentiethCenturyFoxFilmCorporation CurrentEntertainment ImmortalEntertainment Canal+ EuropaCorp QualityGrowthInternationalLtd.France UnitedStatesofAmerica,Kiss of the Dragon
1861,AnnaFaris EmmaStone KatDennings KatharineMcPheeRomance Comedyvirgin nudity college costume yoga bikini party playboy jail sorority pregnancy model carwash fraternity pledgeColumbiaPictures HappyMadisonProductions RelativityMedia AltaLomaEntertainmentUnitedStatesofAmerica,The House Bunny
1862,QueenLatifah AliciaSilverstone AndieMacDowell AlfreWoodardComedy RomancenanMetro-Goldwyn-Mayer(MGM)UnitedStatesofAmerica,Beauty Shop
1863,JonHamm BillPaxton LakeBell SurajSharmaDramabaseball sport duringcreditsstingerWaltDisneyPicturesUnitedStatesofAmerica,Million Dollar Arm
1864,JeffBridges MerylStreep BrentonThwaites OdeyaRushDrama ScienceFictiondystopia blackandwhite basedonyoungadultnovelTheWeinsteinCompany WaldenMedia TonikProductions AsisProductionsUnitedStatesofAmerica,The Giver
1865,AmandaBynes ColinFirth KellyPreston JonathanPryceComedylondonengland england daughter politician teenagegirl fatherdaughterrelationship americanabroad teencomedy womandirectorDiNoviPictures GerberPictures GaylordFilms WarnerBros. SloaneSquareFilms HSITomorrowFilmUnitedStatesofAmerica,What a Girl Wants
1866,RayWise JonathanBreck GarikayiMutambirwa EricNenningerHorror Thrillerfathersonrelationship scarecrow peasant farm immortality mythicalcreature fatherUnitedArtists AmericanZoetrope MyriadPictures JeepersCreepersIIUnitedStatesofAmerica,Jeepers Creepers 2
1867,DaneCook JessicaAlba DanFogler ElliaEnglishComedy Drama Romancesex aquarium nudity one-nightstand bride man-womanrelation love curse wedding dentist basedonshortstory duringcreditsstingerLionsgate KarzEntertainmentCanada UnitedStatesofAmerica,Good Luck Chuck
1868,JetLi DMX KellyHu AnthonyAndersonAction Crime Dramarobbery diamant intelligence bankrobber thief bankrobbery financialtransactions hoodlumSilverPictures WarnerBros.UnitedStatesofAmerica,Cradle 2 the Grave
1869,NicoleKidman JulianneMoore MerylStreep StephenDillaneDramalondonengland suicide gay poetry aids drowning depression home wayoflife self-destruction province literature empowerment countrylife family'sdailylife senseoflife homelessness leavingone'sfamily delusionParamountPictures MiramaxFilms ScottRudinProductionsUnitedStatesofAmerica,The Hours
1870,AmandaBynes ChanningTatum LauraRamsey VinnieJonesComedy Drama Family Romanceroommate twinsister sport boardingschool twinbrother mistakenidentity soccer teenager teencomedy tomboy fakeidentity disguisedvoice thebiggameDreamWorksSKG LakeshoreEntertainmentUnitedStatesofAmerica,She's the Man
1871,RowanAtkinson MaxBaldry EmmadeCaunes WillemDafoeFamily Comedyholiday france filmdirector chaos clumsyfellow todropbrick aftercreditsstingerTigerAspectProductions WorkingTitleFilmsUnitedKingdom France Germany,Mr. Bean's Holiday
1872,JohnnyMessner KaDeeStrickland MatthewMarsden NicholasGonzalezAdventure Action Horror ScienceFiction Thrillersnake expedition traitor research orchid jungle animalhorrorScreenGems MiddleForkProductionsUnitedStatesofAmerica,Anacondas: The Hunt for the Blood Orchid
1873,CliveOwen BillyCrudup MarionCotillard MilaKunisThriller Crime DramananWildBunch LGMProductions LesProductionsduTrésor MarsDistribution Canal+ FranceTélévision WorldviewEntertainment Ciné+ M6 France3Cinema CaneoFilms GrisbiProductions France4 W9 Chi-Fou-MiProductions TreasureCompanyFrance UnitedStatesofAmerica,Blood Ties
1874,FreddieHighmore KeriRussell JonathanRhysMeyers TerrenceHowardDramadate lossofson loveatfirstsight childlabour guitar lossofchild lover(female) loveofone'slife harmonica lie choir churchchoir rockstar cello forbiddenlove musiclover organ kiss affection music concert tenderness motherlylove children'shome deathofachild orphanage secretlove crush children fallinginlove relationship womandirector pianoWarnerBros. CJEntertainment SouthpawEntertainmentUnitedStatesofAmerica,August Rush
1875,CateBlanchett GeoffreyRush ChristopherEccleston JosephFiennesDrama Historyduke historicalfigure treason catholic protestantChannelFourFilms PolyGramFilmedEntertainment WorkingTitleFilmsUnitedStatesofAmerica,Elizabeth
1876,EdGale JenniferTilly BradDourif KatherineHeiglHorror Comedyroute66 puppet evildoll killerdoll killertoys toycomestolife chuckyUniversalPictures MidwinterProductionsInc.Canada UnitedStatesofAmerica,Bride of Chucky
1877,MartinBalsam SôYamamura JosephCotten TatsuyaMihashiHistory Action Drama Adventure Warjapan worldwarii pearlharbor soldier imperialjapanTwentiethCenturyFoxFilmCorporationJapan UnitedStatesofAmerica,Tora! Tora! Tora!
1878,VictoriaBeckham MelanieBrown EmmaBunton MelanieChisholmAdventure Fantasy Drama Comedy Musicpop popculture popstarColumbiaPicturesCorporationUnitedKingdom,Spice World
1879,SamRockwell JonahHill MaxRecords AriGraynorComedybabysitter duringcreditsstingerTwentiethCenturyFoxFilmCorporation MichaelDeLucaProductions RoughHousePicturesUnitedStatesofAmerica,The Sitter
1880,ShoshanaBush DamonWayansJr. EssenceAtkins ChrisElliottAction Comedy Musicrapmusic hip-hopParamountPictures MTVFilms WayansBros.EntertainmentUnitedStatesofAmerica,Dance Flick
1881,TimRobbins MorganFreeman BobGunton ClancyBrownDrama Crimeprison corruption policebrutality prisoncell delinquent paroleboard escapefromprison wrongfulimprisonment framedformurder 1940sCastleRockEntertainmentUnitedStatesofAmerica,The Shawshank Redemption
1882,PaulHogan LindaKozlowski JereBurns JonathanBanksAdventure Comedycrocodile trafficjam losangeles stolenpaintingBungalowProductions SilverLionFilms VisionViewEntertainmentAustralia UnitedStatesofAmerica,Crocodile Dundee in Los Angeles
1883,WoodyHarrelson RandyQuaid VanessaAngel BillMurrayComedysport handicap sexualfavor starspangledbanner bowlingteam hairloss biblicalinterpretation combover femalestripper inflatabledoll combover unlikelylovers kingpin carriage lancaster paMotionPictureCorporationofAmerica Metro-Goldwyn-Mayer(MGM)UnitedStatesofAmerica,Kingpin
1884,MarkWahlberg JohnGoodman BrieLarson MichaelKennethWilliamsThriller Crime Dramagambling gun professor beating gambler loansharkParamountPictures ClosesttotheHoleProductions LeverageEntertainment Chartoff-WinklerProductionsUnitedStatesofAmerica,The Gambler
1885,MerylStreep JuliaRoberts ChrisCooper EwanMcGregorComedy Dramasuicide drugaddiction funeral dysfunctionalfamily basedonplay midwest southern bleakcomedy mentaldisordersJeanDoumanianProductions SmokehousePicturesUnitedStatesofAmerica,August: Osage County
1886,MichelleTrachtenberg JoanCusack AmyStewart HaydenPanettiereDrama Comedy Familysport figureskating teenagegirl teenmovie teenagerWaltDisneyPictures BridgetJohnsonFilms SkateAwayProductionsUnitedStatesofAmerica Canada,Ice Princess
1887,AshtonKutcher AmandaPeet AimeeGarcia TarynManningComedynewyork shyness career flight romanticcomedy travel malefemalerelationship losangelesMileHighProductions KevinMessickProductions TouchstonePictures BeaconPicturesUnitedStatesofAmerica,A Lot Like Love
1888,TaronEgerton HughJackman ChristopherWalken AniaSowinskiComedy Drama Historyunderdog olympicgames skijump biography sport basedontruestory britain skiing feelgoodStudioBabelsberg TwentiethCenturyFoxFilmCorporation MarvFilms SavilleProductionsGermany UnitedKingdom UnitedStatesofAmerica,Eddie the Eagle
1889,DenzelWashington RayAllen MillaJovovich RosarioDawsonDramaprison fathersonrelationship homicide begnadigung releasefromprison forgiveness college basketball independentfilm40Acres&AMuleFilmworks TouchstonePicturesUnitedStatesofAmerica,He Got Game
1890,JohnnyDepp MarlonBrando FayeDunaway GéraldinePailhasRomance Drama Comedysexaddiction love mentalinstitution patient psychiatrist donjuanNewLineCinema AmericanZoetropeUnitedStatesofAmerica,Don Juan DeMarco
1891,AmandaSeyfried ChanningTatum HenryThomas RichardJenkinsDrama Romance Warbasedonnovel army love u.s.soldierScreenGemsUnitedStatesofAmerica,Dear John
1892,JeffreyDeanMorgan ZoeSaldana ChrisEvans IdrisElbaAction Adventure Crime Mystery Thrillerhospital blackops referencetomacgyver suckedintojetengineDCComics WeedRoadPictures DarkCastleEntertainment WarnerBros. DCEntertainmentUnitedStatesofAmerica,The Losers
1893,KatieHolmes GuyPearce BaileeMadison AlanDaleFantasy Horror Thrillermonster remake creature bathtub teeth oldhouse scarylittlepeopleMiramaxFilms GranViaProductions FilmDistrict Necropia TequilaGangUnitedStatesofAmerica Australia Mexico,Don't Be Afraid of the Dark
1894,JetLi JasonStatham JohnLone DevonAokiAction Thriller Crimefbi revenge fbiagentMosaicMediaGroup CurrentEntertainment Lionsgate FierceEntertainment ProvinceofBritishColumbiaProductionServicesTaxCredit RogueFilmsUnitedStatesofAmerica Canada,War
1895,AdamSandler EmilyWatson PhilipSeymourHoffman LuisGuzmánComedy Drama Romanceshyness brothersisterrelationship businessmanColumbiaPictures NewLineCinema GhoulardiFilmCompanyUnitedStatesofAmerica,Punch-Drunk Love
1896,ScottMechlowicz JacobPitts MichelleTrachtenberg TravisWesterComedyparis berlin alcohol sex nudity adventure penpals travel nudism marijuana teenager duringcreditsstingerDreamWorksSKG TheMontecitoPictureCompany BlueSeaProductionsUnitedStatesofAmerica,EuroTrip
1897,StevenSeagal MorrisChestnut JaRule NiaPeeplesCrime Action Thrillerresistance undercover alcatraz stolenmoneyFranchisePictures ScreenGemsGermany UnitedStatesofAmerica,Half Past Dead
1898,LewisBlack WilmerValderrama TylerJamesWilliams DyllanChristopherComedy Familyholidaynannan,Unaccompanied Minors
1899,MichaelJ.Fox KieferSutherland PhoebeCates JasonRobardsDramamagazine writer drug fashionshowUnitedArtists MirageEnterprises CSTTelecommunications StarPartnersJapan UnitedStatesofAmerica,"Bright Lights, Big City"
1900,MartinLandau JonathanTaylorThomas GenevièveBujold UdoKierAnimation Family Fantasyitaly fathersonrelationship pinocchio love school crime havingfun poorpeople boysNewLineCinema TheKushner-LockeCompany SavoyPicturesCzechRepublic France Germany UnitedKingdom UnitedStatesofAmerica,The Adventures of Pinocchio
1901,ShiaLaBeouf StephenDillane JoshFlitter PeterFirthDrama FamilysportWaltDisneyPicturesUnitedStatesofAmerica,The Greatest Game Ever Played
1902,CameronDiaz JamesMarsden FrankLangella MichaelZegenThriller ScienceFictionexperiment homicide key sacrifice research test decision police control stalker murder alien gift conspiracy money scientist violence button stranger boxMediaRightsCapital LinPictures WarnerBros. DarkoEntertainment RadarPicturesUnitedStatesofAmerica,The Box
1903,ShawnAshmore JonathanTucker JenaMalone LauraRamseyDrama Horrormayacivilization carnivorousplant cancún ruinsSpyglassEntertainment PacificFilmandTelevisionCommission DreamWorksPictures RedHourFilms InternationaleFilmproduktionPrometheusUnitedStatesofAmerica Germany Australia,The Ruins
1904,Madonna RupertEverett BenjaminBratt MalcolmStumpfComedygay parentskidsrelationship custodybattle flush yoga single bestfriend losangeles singlefather co-parentingParamountPictures LakeshoreEntertainmentUnitedStatesofAmerica,The Next Best Thing
1905,MaxThieriot JohnMagaro DenzelWhitaker ZenaGreyDrama Horror Mystery Thrillersoul serialkiller slasher teenager 3dRelativityMedia RogueUnitedStatesofAmerica,My Soul to Take
1906,EmileHirsch ElishaCuthbert TimothyOlyphant JamesRemarComedypornactor pornographicvideo highschool schoolparty blonde girlnextdoorRegencyEnterprises EpsilonMotionPictures NewRegencyPictures DaybreakUnitedStatesofAmerica,The Girl Next Door
1907,Jean-ClaudeVanDamme NatashaHenstridge Jean-HuguesAnglade ZachGrenierAction Adventure Thrillermistakeinperson dyinganddeath twinbrother russianmafiaColumbiaPicturesUnitedStatesofAmerica,Maximum Risk
1908,JasonLee TomGreen LeslieMann DennisFarinaAction Comedy Dramarobbery fool studies house uncle independentfilm moneyColumbiaPictures ImagineEntertainment RevolutionStudiosUnitedStatesofAmerica,Stealing Harvard
1909,TomHardy EmilyBrowning ChristopherEccleston DavidThewlisCrime Thrillerbiography basedontruestory gangster twinsWorkingTitleFilms CrossCreekPictures AntonCapitalEntertainment(ACE)UnitedKingdom UnitedStatesofAmerica France,Legend
1910,AndySamberg IslaFisher BillHader SissySpacekAction Comedystuntman stepfather swimmingpool aftercreditsstingerParamountPicturesUnitedStatesofAmerica,Hot Rod
1911,SaraPaxton ChrisCarmack JoelDavidMoore ChrisZylkaHorror Thrillersharkattack louisiana dirtycop shark aftercreditsstingerIncentiveFilmedEntertainmentUnitedStatesofAmerica,Shark Night
1912,EmilyWatson RobertCarlyle JoeBreen MichaelLeggeDramaemigration irish-american hunger sociallydeprivedfamily famine alcoholism brooklynnewyorkcityParamountPictures UniversalPicturesIreland UnitedStatesofAmerica,Angela's Ashes
1913,KevinCostner JenniferGarner TomWelling SamElliottDramasport duringcreditsstingerSummitEntertainment LionsgateUnitedStatesofAmerica,Draft Day
1914,SteveRailsback PeterFirth FrankFinlay MathildaMayFantasy Horror ScienceFiction Thrillerspacemarine vampire flyingsaucer comet alien halley'scometTriStarPictures Golan-Globus EasedramUnitedKingdom,Lifeforce
1915,EvanRachelWood JamesMcAvoy KevinKline RobinWrightCrime Drama Historypresident history conspiracy lawyer trial boardinghouse militarytribunal historical union privateclubWildwoodEnterprises AmericanFilmCompanyUnitedStatesofAmerica,The Conspirator
1916,EmileHirsch VictorRasuk RebeccaDeMornay JohnRobinsonDramaskateboarding success independentfilm womandirectorColumbiaPictures TriStarPicturesGermany UnitedStatesofAmerica,Lords of Dogtown
1917,AntonioBanderas RodrigoSantoro JulietteBinoche JamesBrolinDrama Historymining chile basedontruestory survival womandirector miningaccidentAlconEntertainment PhoenixPictures Fabula HalfCircleUnitedStatesofAmerica Chile,The 33
1918,KurtRussell KimCattrall DennisDun JamesHongAction Adventure Comedy Fantasykungfu chinatown magic mysteryTwentiethCenturyFoxFilmCorporation TAFTEntertainmentPicturesUnitedStatesofAmerica,Big Trouble in Little China
1919,DianeKruger DanyBoon AlicePol RobertPlagnolComedy RomancenanTF1FilmsProduction QuadProductionsFrance,Un Plan parfait
1920,TomHardy JenniferMorrison NickNolte JoelEdgertonAction Dramabank training beating mixedmartialarts teacher muscleman combat alcoholic gym exerciseSolarisFilm Lionsgate MimranSchurPictures FilmtribeUnitedStatesofAmerica,Warrior
1921,LiamNeeson AidanQuinn StephenRea AlanRickmanDrama Thrillercivilwar fight presidentialelection freedomfighter chinesecivilwar irelandGeffenPictures WarnerBros.Ireland UnitedKingdom,Michael Collins
1922,JeffDaniels TomBerenger MartinSheen SamElliottWar Drama Historycivilwar independence troops army battle unionsoldier confederatesoldier americancivilwarTriStarTelevision Esparza/KatzProductionsUnitedStatesofAmerica,Gettysburg
1923,RyanPhillippe AbbieCornish JosephGordon-Levitt ChanningTatumDrama Warposttraumaticstressdisorder iraqwarveteran u.s.soldier womandirectorParamountPictures ScottRudinProductions MTVFilms PeircePicturesUnitedStatesofAmerica,Stop-Loss
1924,KatieHolmes BenjaminBratt CharlieHunnam ZooeyDeschanelDrama Mystery Thrilleralcohol detective dancer nightmare college job party elite suspense drug boyfriend thesis pressureParamountPictures SpyglassEntertainment TouchstonePicturesAustralia UnitedStatesofAmerica,Abandon
1925,ClaireDanes KateBeckinsale BillPullman JacquelineKimDrama Thrillerholiday prison thailand drug injusticeTwentiethCenturyFoxFilmCorporation Fox2000Pictures AdamFieldsProductions TwoGirlsProductionsUnitedStatesofAmerica,Brokedown Palace
1926,JeffreyDeanMorgan NatashaCalis MadisonDavenport KyraSedgwickHorror ThrillernanGhostHousePictures NorthBoxProductionsUnitedStatesofAmerica Canada,The Possession
1927,ShirleyMacLaine RickiLake BrendanFraser JaneKrakowskiComedy Romance Dramarolereversal mistakenidentity trainwreckTriStarPicturesUnitedStatesofAmerica,Mrs. Winterbourne
1928,JamesMarsden KateBosworth AlexanderSkarsgård DominicPurcellDrama Thrillersouthernusa rape bar wifehusbandrelationship barn machismo rifle homeinvasionBattleplanProductionsUnitedStatesofAmerica,Straw Dogs
1929,RichardGere AlfredMolina MarciaGayHarden HopeDavisComedy Dramaflying 1970s falseidentity biographyMiramaxFilms TheMarkGordonCompany YariFilmGroup BobYariProductionsUnitedStatesofAmerica,The Hoax
1930,BrianBosworth LanceHenriksen WilliamForsythe ArabellaHolzbogAction Crime Thrillerundercover fbi biker cop motorcyclegangStoneGroupPictures VisionInternationalUnitedStatesofAmerica,Stone Cold
1931,ViggoMortensen KodiSmit-McPhee CharlizeTheron RobertDuvallAdventure Dramapost-apocalyptic dystopia paternity duringcreditsstinger2929Productions DimensionFilms NickWechslerProductions ChockstonePicturesUnitedStatesofAmerica,The Road
1932,TanyaRoberts TedWass DonovanScott ElizabethofToroAction Adventure Comedy Fantasy ScienceFictionafrica mercenary adventure femalehero junglegirlColumbiaPicturesCorporation DelphiIIProductions ColgemsProductionsLtd.nan,Sheena
1933,NickCannon RoselynSánchez ShawnAshmore CheechMarinAction Comedypolice highschool undercovercopMiramaxFilmsUnitedStatesofAmerica,Underclassman
1934,ChrisKlein HeatherGraham OrlandoJones SallyFieldComedy RomancenanTwentiethCenturyFoxFilmCorporation ConundrumEntertainment SayItIsn'tSoProductionsUnitedStatesofAmerica,Say It Isn't So
1935,AnthonyHopkins IainRea TessaMitchell AaronMurphyDramanewzealand utah life'sdream independentfilm motorcycle motorcycleracing trailer mortgageNewZealandFilmCommission 2929Productions OLC/RightsEntertainment Tanlay NewZealandFilmProductionFund 3DogsandaPony ParkRoadPost WFIProductionsLtd.NewZealand Switzerland Japan UnitedStatesofAmerica,The World's Fastest Indian
1936,LoriPetty Ice-T NaomiWatts MalcolmMcDowellAction Comedy Fantasy ScienceFictiondestroy dystopia reincarnation desert artialarts womandirectorTrilogyEntertainmentGroupUnitedStatesofAmerica,Tank Girl
1937,AnthonyAnderson JayMohr KellitaSmith BrookeD'OrsayComedy Crimecaper actionnanCanada UnitedStatesofAmerica,King's Ransom
1938,JulianneMoore MarkRuffalo AliceBraga GaelGarcíaBernalDrama Mystery ScienceFiction Thrillerfight blindnessandimpairedvision asylum leader society eyespecialist uprising doomsday plagueRhombusMedia O2Filmes TéléfilmCanada BeeVinePictures AllianceFilms AsmikAceEntertainment GAGA FoxFilmesdoBrasil Ancine BNDES CinemaInvestment CorusEntertainment MovieCentralNetworkBrazil Canada Japan,Blindness
1939,KristannaLoken BenKingsley MichelleRodriguez MichaelMadsenAction Adventure Fantasy Horrorvampire vampirehunter basedonvideogame romaniaBollKGUnitedStatesofAmerica,BloodRayne
1940,KateWinslet JodieFoster ChristophWaltz JohnC.ReillyComedy Dramaflat mobilephone hamster insult darkcomedy writer tulips meeting puke pants liberalWildBunch ZanagarFilms Canal+ ConstantinFilmProduktion CinéCinéma VersátilCinema SBSProductions PolskiInstytutSztukiFilmowej FranceTélévisions France2Cinéma SPIFilmStudioSpain France Germany Poland,Carnage
1941,KevinBacon ColinFirth AlisonLohman DavidHaymanDrama Mystery Thrillersex journalist journalism 1970s entertainer one-nightstand extramaritalaffair sexpartySerendipityPointFilmsUnitedStatesofAmerica,Where the Truth Lies
1942,EricaLinz IgorZaripov MattGillanders JasonBerrentFantasy Familyclown music mimes cirquedusoleil carnies aerialistReelFXCreativeStudiosUnitedStatesofAmerica,Cirque du Soleil: Worlds Away
1943,BillyCrudup DonaldSutherland MonicaPotter JeremySistoDramarunning olympicgames sport athleteCruise/WagnerProductions WarnerBros.UnitedStatesofAmerica,Without Limits
