,cast,genres,keywords,production_companies,production_countries,title
2400,BruceWillis JasonPatric JohnCusack JessicaLowndes,Thriller Action,mobster justice retired missing missingdaughter,GrindstoneEntertainmentGroup Emmett/FurlaFilms OasisFilms ApertureEntertainment,UnitedStatesofAmerica,The Prince
2401,MattDillon JamesCaan NataschaMcElhone GérardDepardieu,Thriller,,,UnitedStatesofAmerica,City of Ghosts
2402,NicoleKidman ChristopherEccleston AlakinaMann JamesBentley,Horror Drama Mystery Thriller,nanny hauntedhouse channelislands parallelworld photosensitivity spiritism,Cruise/WagnerProductions CanalPlus Sogecine LasProduccionesdelEscorpion LuckyRed DimensionFilms Miramax,Spain UnitedStatesofAmerica France Italy,The Others
2403,SigourneyWeaver MichaelBiehn JamesRemar PaulReiser,Horror Action Thriller ScienceFiction,android extraterrestrialtechnology spacemarine spaceman cryogenics vacuum spacecolony warriorwoman settler spacetravel colony alien xenomorph,TwentiethCenturyFoxFilmCorporation SLMProductionGroup BrandywineProductions,UnitedKingdom UnitedStatesofAmerica,Aliens
2404,AudreyHepburn RexHarrison StanleyHolloway WilfridHyde-White,Drama Family Music Romance,musical transformation flowergirl colonel wager suitor classdifferences tutor aristocrat linguist street highsociety misogynist guttersnipe classprejudice oppositesattract,WarnerBros.,UnitedStatesofAmerica,My Fair Lady
2405,JenniferLoveHewitt SarahMichelleGellar RyanPhillippe FreddiePrinzeJr.,Horror Thriller Mystery,secret blackmail fisherman police highschool cover-up friends revenge murder pageant slasher teenager killer,ColumbiaPicturesCorporation MandalayEntertainment SummerKnowledgeLLC,UnitedStatesofAmerica,I Know What You Did Last Summer
2406,JakeJohnson DamonWayansJr. NinaDobrev RobRiggle,Comedy,corruption robbery kidnapping nightclub malefriendship investigation police party murder mobster losangeles lying impersonatingapoliceofficer flashback,TwentiethCenturyFoxFilmCorporation WideAwake GenreFilms,UnitedStatesofAmerica,Let's Be Cops
2407,PaulGiamatti ThomasHadenChurch VirginiaMadsen SandraOh,Comedy Drama Romance,california golf oscaraward wine stagnight marijuana writer,FoxSearchlightPictures MichaelLondonProductions SidewaysProductionsInc.,UnitedStatesofAmerica,Sideways
2408,ErikStolhanske JayChandrasekhar SteveLemme PaulSoter,Comedy,germany competition prostitute alcohol beer oktoberfest,BrokenLizardIndustries,UnitedStatesofAmerica,Beerfest
2409,DonaldPleasence JamieLeeCurtis P.J.Soles NancyKyes,Horror Thriller,femalenudity nudity mask babysitter halloween police psychopathickiller independentfilm stalking serialkiller marijuana maskedkiller blood potsmoking slasher murderer throatslitting maniac violence killingspree family cultfilm evil psychotic smokingpot institution escapedkiller,CompassInternationalPictures FalconInternationalProductions,UnitedStatesofAmerica,Halloween
2410,MollyShannon LiamAiken MatthewBroderick DonaldFaison,Comedy Family ScienceFiction,,JimHensonPictures Metro-Goldwyn-Mayer(MGM),UnitedStatesofAmerica,Good Boy!
2411,TerrenceHoward HaroldPerrineau MorrisChestnut SanaaLathan,Comedy,bestman,Universal,UnitedStatesofAmerica,The Best Man Holiday
2412,RyanReynolds RayLiotta JosephRuskin AlexRocco,Action Comedy Crime Thriller,neo-nazi gun sniper fbi hitman bodyguard toshootdead police darkcomedy shootout gangster drug femalecorpse,UniversalPictures StudioCanal RelativityMedia ScionFilms WorkingTitleFilms,France UnitedKingdom UnitedStatesofAmerica,Smokin' Aces
2413,TobinBell CostasMandylor BetsyRussell CaryElwes,Horror Crime,survivor violence selfhelpguru tricycle prostheticarm pigmask 3d,Lionsgate TwistedPictures SerendipityProductions,Canada UnitedStatesofAmerica,Saw 3D
2414,JoshHartnett ShannynSossamon AdamTrese EmmanuelleVaugier,Comedy Romance,sexaddiction laundromat,MiramaxFilms UniversalPictures WorkingTitleFilms,UnitedStatesofAmerica France UnitedKingdom,40 Days and 40 Nights
2415,WillFerrell ChrisKattan JenniferCoolidge MichaelClarkeDuncan,Comedy,nightlife nightclub flower flowershop makeamatch clubbing,ParamountPictures SNLStudios,UnitedStatesofAmerica,A Night at the Roxbury
2416,AlexPettyfer VanessaHudgens Mary-KateOlsen LisaGayHamilton,Drama Fantasy Romance,basedonnovel love beautifulwoman curse teenager popularity blindtutor teenageromance modernfairytale basedonyoungadultnovel,CBSFilms Mel'sCiteduCinema StorefrontFilms,UnitedStatesofAmerica,Beastly
2417,AaronStanford KathleenQuinlan VinessaShaw EmiliedeRavin,Horror Thriller,ambush newmexico van familyholiday axeinthehead,FoxSearchlightPictures DuneEntertainment MajorStudioPartners Craven-MaddalenaFilms,France UnitedStatesofAmerica,The Hills Have Eyes
2418,DavidSpade MaryMcCormack CraigBierko ScottTerra,Comedy,loser childprodigy,ParamountPictures HappyMadisonProductions,UnitedStatesofAmerica,Dickie Roberts: Former Child Star
2419,KevinCostner RamiroRodriguez CarlosPratts JohnnyOrtiz,Drama,california smalltown coach championship womandirector trackandfield,WaltDisneyPictures MayhemPictures,UnitedStatesofAmerica,"McFarland, USA"
2420,ShadMoss BrandonT.Jackson NaturiNaughton LorettaDevine,Comedy,,CubeVision SweepstakeProductions,UnitedStatesofAmerica,Lottery Ticket
2421,T.I. EvanRoss JackieLong LaurenLondon,Drama,,WarnerBros.,UnitedStatesofAmerica,ATL
2422,AnnaKendrick SkylarAstin BrittanySnow AnnaCamp,Comedy Music Romance,competition roommate college femalefriendship music hazing malefemalerelationship audition groupoffriends dormroom bickering dj singingcompetition filmscore femalemusician singingcontest youngadult acapella,BrownstoneProductions,UnitedStatesofAmerica,Pitch Perfect
2423,FreddiePrinzeJr. JessicaBiel FredWard MatthewLillard,Drama Comedy Romance,beach baseball sport bikini party love romance pool summer flashback,Tollin/RobbinsProductions WarnerBros.,UnitedStatesofAmerica,Summer Catch
2424,BillPaxton BridgetFonda BillyBobThornton BrentBriscoe,Drama Crime Thriller,brotherbrotherrelationship moneydelivery airplane greed friendship suspense financialtransactions,ParamountPictures,UnitedStatesofAmerica,A Simple Plan
2425,LauraRegan MarcBlucas EthanEmbry DagmaraDomińczyk,Horror Thriller,suicide asylum nightmare darkness supernatural suspense,DimensionFilms FocusFeatures GoodMachine RadarPictures,UnitedStatesofAmerica,They
2426,LarrytheCableGuy IrisBahr TonyHale DavidKoechner,Comedy,healthinspector foodintoxication,ParallelPictures,UnitedStatesofAmerica,Larry the Cable Guy: Health Inspector
2427,KevinClash MandyPatinkin VanessaWilliams SoniaManzano,Family,,ColumbiaPictures Children'sTelevisionWorkshop JimHensonPictures,UnitedStatesofAmerica,The Adventures of Elmo in Grouchland
2428,RichardGere DonCheadle EthanHawke WesleySnipes,Crime Drama Thriller,malenudity femalenudity tattoo gambling corruption fathersonrelationship prostitute robbery detective policebrutality wifehusbandrelationship cardgame desperation undercover kidnapping drugdealer retirement deathofafriend asthma police fellatio bloodsplatter revenge deception murder betrayal priest breast bagofmoney shootout bloodonshirt shotintheback undercovercop blood suicidal fword shottodeath punchedintheface redemption policeofficerkilled hospital dirtycop policecorruption pistol newyorkcity church violence strangulation footchase policedetective fatherdaughterrelationship policestation heldatgunpoint catholic guilt brooklynnewyorkcity narcoticscop nypd missingperson racialslur swatteam ensemblecast pregnantwife confessional drivebyshooting shotintheshoulder guninmouth policeraid referencetogod razorblade shotthroughadoor stealingmoney policeofficershot expectingtwins lensflare flashback moneyproblems familyman neo-noir bmw apathy confessionbooth thoughtsofretirement hailmary workinginthenude drugraid ironingmoney bedtimeprayer briefing shotpointblank referencetogregoryhines policebadge sexslave trailofblood goldwatch manslapsawoman mold,NuImageFilms LangleyProductions ThunderRoadProductions FuquaFilms MillenniumFilms,UnitedStatesofAmerica,Brooklyn's Finest
2429,CharltonHeston AvaGardner DavidNiven BurtKwouk,Action Drama History,siege epic beijing,AlliedArtistsPictures SamuelBronstonProductions,UnitedStatesofAmerica,55 Days at Peking
2430,JaneLevy ShilohFernandez LouTaylorPucci JessicaLucas,Horror,remake demon necronomicon duringcreditsstinger,TriStarPictures GhostHousePictures FilmDistrict,UnitedStatesofAmerica,Evil Dead
2431,NiaVardalos RichardDreyfuss AlexisGeorgoulis AlistairMcGowan,Comedy Romance,beach greece tourbus tourguide viagra hospital,FoxSearchlightPictures 26Films,Greece UnitedStatesofAmerica,My Life in Ruins
2432,HughGrant DennisQuaid MandyMoore WillemDafoe,Comedy Drama Family,usapresident moderator musical music castingshow imagecampaign sleeperagent,UniversalPictures DepthofField,UnitedStatesofAmerica,American Dreamz
2433,ChristopherReeve MargotKidder GeneHackman JackieCooper,Action Adventure ScienceFiction,savingtheworld dccomics mountains nuclearmissile u.s.army alterego sequel superhero laboratory convertible catholicschool newspapereditor nuclearweapons disarmament volcaniceruption greatwallofchina superpowers superhumanstrength,CannonFilms WarnerBros. London-CannonFilms Golan-GlobusProductions,UnitedKingdom UnitedStatesofAmerica,Superman IV: The Quest for Peace
2434,RutinaWesley DwainMurphy BoydBanks CléBennett,Drama,blackpeople lossofsister dance stepping,MTVFilms TéléfilmCanada CelluloidDreams AstralMedia CanadianFilmorVideoProductionTaxCredit(CPTC) CorusEntertainment MovieCentralNetwork ChumTelevision OntarioMediaDevelopmentCorporation(OMDC) MovieNetwork The(TMN) ShawRocketFund CanadianTelevisionFund HaroldGreenbergFund SiennaFilms OntarioFilmandTelevisionTaxCredit(OFTTC) CanadaTelevisionandCableProductionFundLicenseProgram(CTCPF),Canada France UnitedStatesofAmerica,How She Move
2435,PaulWalker CameronBright VeraFarmiga ChazzPalminteri,Action Crime Drama Thriller,icehockey racism pedophile throatslitting shotinthestomach headblownoff policeinvestigation pistolwhip shotintheshoulder childusesgun ankleholster breakingfinger,InternationalProductionCompany TrueGritProductions ZeroGravityManagement Pierce/WilliamsEntertainment,Germany UnitedStatesofAmerica,Running Scared
2436,JimCaviezel ClaireForlani JeremyNortham MalcolmMcDowell,Drama,sport,DeanRiverProductions BobbyJonesFilmsLLC LIFE(n) McDongallFilms,UnitedStatesofAmerica,Bobby Jones: Stroke of Genius
2437,Madonna SeanPenn PaulFreeman RichardGriffiths,Adventure,,HandMadeFilms VistaOrganisation The,UnitedKingdom,Shanghai Surprise
2438,EdwardNorton JessicaBiel PaulGiamatti RufusSewell,Fantasy Drama Thriller Romance,magic princess love rivalry viennaaustria crownprince duchess supernaturalpower childhoodsweetheart vienna,MichaelLondonProductions StillkingFilms BobYariProductions Bull'sEyeEntertainment ContagiousEntertainment RevolutionSunStudios,CzechRepublic UnitedStatesofAmerica,The Illusionist
2439,TippiHedren MelanieGriffith JerryMarshall KyaloMativo,Adventure Thriller,africa lion elephant vegetarian leopard tiger zebra wildlife independentfilm jungle blood exploitationfilm animalattack wildlifereserve wildlifeconservation,AmericanFilmworks,UnitedStatesofAmerica,Roar
2440,CateBlanchett GerardMcSorley CiaránHinds BrendaFricker,Drama Crime Thriller,journalism police drugscene murder druglord,JerryBruckheimerFilms TouchstonePictures,Ireland UnitedKingdom UnitedStatesofAmerica,Veronica Guerin
2441,BeniciodelToro JoshHutcherson BradyCorbet ClaudiaTraisac,Thriller Romance,surfer murder murderer columbia telephoneconversation,NexusFactory uFilm JaguarFilms Umedia Chapter2 Roxbury,Belgium France Spain,Escobar: Paradise Lost
2442,DwayneJohnson SeannWilliamScott SarahMichelleGellar MandyMoore,Action Adventure Comedy Drama ScienceFiction Thriller,suicide brotherbrotherrelationship spy prophecy middleeast screenwriter terrorist wifehusbandrelationship nevada amnesia allegory massmurder kidnapping blackmail riot evacuation afghanistan timetravel undercoveragent marxism politics politician smuggling twinbrother movieinmovie murder surrealism balloon interracialrelationship anticonformity endoftheworld conspiracy metaphysics memory search dirtycop apocalypse losangeles terrorism paradox cultfilm doomsday nearfuture alternatereality splitpersonality bigcorporation mothersonrelationship noopeningcredits northkorea doppelganger governmentcorruption southerncalifornia alternatetimeline karma environmentalissue worldwariii mysteriouspast absurdism fourthdimension santamonicacalifornia,UniversalPictures DestinationFilms PersistentEntertainment WildBunch CherryRoadFilmsLLC MHFZweiteAcademyFilm DarkoEntertainment AcademyFilms EdenRocProductions,Germany UnitedStatesofAmerica France,Southland Tales
2443,VincentLindon PatrickTimsit PhilippeNahon AmandaLear,Animation Family,destroy future worldsupremacy bestfriend dragon doomsday,Futurikon,France,Chasseurs de dragons
2444,Jan-MichaelVincent GeorgePeppard DominiqueSanda PaulWinfield,Action Adventure ScienceFiction,basedonnovel future post-apocalyptic war cockroach motorcycle scorpion postnuclear battleforsurvival,TwentiethCenturyFoxFilmCorporation,UnitedStatesofAmerica,Damnation Alley
2445,AshleyGreene SebastianStan TomFelton JuliannaGuill,Horror Thriller,experiment supernatural paranormal haunting disappearance fear ghost,StudioCanal DarkCastleEntertainment WarnerBros. StudioBabelsbergMotionPictures,UnitedStatesofAmerica,The Apparition
2446,AnnaChlumsky MacaulayCulkin DanAykroyd JamieLeeCurtis,Comedy Drama Family,neighbor childkilledbyanimal writingclass makeupartist beesting camper cosmetologist treeclimbing deathinchildbirth tuba motorhome beeattack,ColumbiaPictures ImagineEntertainment,UnitedStatesofAmerica,My Girl
2447,NicoleKidman RobertDowneyJr. TyBurrell HarrisYulin,Drama Mystery Romance,photographer biography hair werewolf hypertrichosis freak,RiverRoadEntertainment EdwardR.PressmanFilm IronFilm,UnitedStatesofAmerica,Fur: An Imaginary Portrait of Diane Arbus
2448,CharlieSheen MichaelDouglas MartinSheen DarylHannah,Crime Drama,power fraud broker wallstreet finances lawyer union millionaire stockbroker,TwentiethCenturyFoxFilmCorporation,UnitedStatesofAmerica,Wall Street
2449,KateWinslet EmmaThompson HughGrant TomWilkinson,Drama Romance,bowling basedonnovel servant countrylife janeausten inheritance militaryofficer perioddrama rainstorm horseandcarriage decorum,ColumbiaPicturesCorporation MirageEnterprises,UnitedKingdom UnitedStatesofAmerica,Sense and Sensibility
2450,AnneHathaway JamesMcAvoy JulieWalters JamesCromwell,Drama Romance,england judge irland newlove empowerment countrylife future letter law lovers creativity sister author family,EcosseFilms 2Entertain BueprintPictures,UnitedKingdom UnitedStatesofAmerica,Becoming Jane
2451,AmandaBynes SaraPaxton MattLong JeremyHoward,Comedy,college romance sorority student snowwhite youngadult modernfairytale,MorganCreekProductions CliffordWerberProductions SW7DProductions,UnitedStatesofAmerica,Sydney White
2452,JenniferConnelly BenKingsley RonEldard FrancesFisher,Drama,sanfrancisco immigrant house intimidation iranian,DreamWorksSKG CobaltMediaGroup BisgroveEntertainment,UnitedStatesofAmerica,House of Sand and Fog
2453,RobinWilliams EthanHawke RobertSeanLeonard GaleHansen,Drama,individual philosophy poetry shakespeare professor literature friendship filmesfocadosemumprofessor,TouchstonePictures SilverScreenPartnersIV,UnitedStatesofAmerica,Dead Poets Society
2454,JimCarrey JeffDaniels LaurenHolly TeriGarr,Comedy,gasstation motel utah stupidity pill prank cigarsmoking violence criminal firedfromthejob clumsiness stepmotherstepdaughterrelationship sittingonatoilet aspencolorado parakeet defecation scooter hotelsuite endangeredspecies foolish laxative,NewLineCinema MotionPictureCorporationofAmerica(MPCA),UnitedStatesofAmerica,Dumb and Dumber
2455,MegRyan BillyCrystal CarrieFisher BrunoKirby,Comedy Romance Drama,newyork wifehusbandrelationship restaurant platoniclove orgasm friendship malefemalerelationship,CastleRockEntertainment NelsonEntertainment,UnitedStatesofAmerica,When Harry Met Sally...
2456,PaulNewman CharlotteRampling JackWarden JamesMason,Drama,boston court malpractice alcoholic courtroom defenseattorney,TwentiethCenturyFoxFilmCorporation,UnitedStatesofAmerica,The Verdict
2457,BreckinMeyer SeannWilliamScott AmySmart PauloCostanzo,Comedy Adventure,femalenudity sex sexism spermbank erection blonde roadtrip sorority politicallyincorrect potsmoking teenmovie teensexcomedy crosscountry political stoner spermdonor schoolbus losingmoney malevirgin horniness dormroom sextape youngadult,DreamWorksSKG TheMontecitoPictureCompany,UnitedStatesofAmerica,Road Trip
2458,JamesVanDerBeek AmySmart JonVoight PaulWalker,Comedy Drama Romance,americanfootball smalltown texas cheerleader sport party highschoolsports policecar americanfootballstar thebiggame,ParamountPictures MTVFilms,UnitedStatesofAmerica,Varsity Blues
2459,JeanDujardin BéréniceBejo JohnGoodman JamesCromwell,Drama Comedy Romance,filmproducer filmhistory moviestudio hollywood dog mustache hollywoodland silentfilm marquee terrier moviestar flapper silentfilmstar,France3Cinéma LaPetiteReine Studio37 uFilm JourorProductions LaClasseAméricaine JDProd,Belgium France,The Artist
2460,OdetteAnnable GaryOldman MeaganGood CamGigandet,Horror Thriller Mystery,,RoguePictures PhantomFour PlatinumDunes RelativityMedia,UnitedStatesofAmerica,The Unborn
2461,BruceWillis EdwardNorton JaredGilman KaraHayward,Comedy Drama Romance,newengland firstlove eyepatch searchparty devastation penpal handkerchief childsmoking smalltownsheriff thecolorred thecolorblue boyscouts sanddancing meetcute boyscoutsleader pipesmoking duringcreditsstinger,ScottRudinProductions IndianPaintbrush FocusFeatures AmericanEmpiricalPictures Moonrise,UnitedStatesofAmerica,Moonrise Kingdom
2462,JordanaBrewster TaylorHandley DioraBaird MattBomer,Horror,massmurder plannedmurder chainsaw sadism knife psychopath prequel murder gore serialkiller blood leatherface slaughterhouse slasher chainsaw torture cruelty seriesofmurders violence cannibal severedfoot severedhand,NewLineCinema NextEntertainment PlatinumDunes Vortex/Henkel/Hooper TexasChainsawProductions,UnitedStatesofAmerica,The Texas Chainsaw Massacre: The Beginning
2463,AdamGreaves-Neal SaraLazzaro VincentWalsh SeanBean,Drama,egypt jesuschrist gospel christian journey biblical,FocusFeatures,UnitedStatesofAmerica,The Young Messiah
2464,DanaCarvey BrentSpiner JenniferEsposito HaroldGould,Comedy Family,aftercreditsstinger duringcreditsstinger,ColumbiaPictures RevolutionStudios HappyMadisonProductions,UnitedStatesofAmerica,The Master of Disguise
2465,IvanaBaquero MaribelVerdú SergiLópez DougJones,Fantasy Drama War,spain resistance servant antihero fairy fairytale francoregime army princess love woods king hiding labyrinth mythological,EstudiosPicasso EsperantoFilmoj TequilaGang,Spain UnitedStatesofAmerica Mexico,El laberinto del fauno
2466,MichaelClarkeDuncan DavidArquette LeslieBibb JoeViterelli,Action Comedy Family,dog,VillageRoadshowPictures NPVEntertainment RobertSimondsProductions WarnerBros. SpotPictures,Australia UnitedStatesofAmerica,See Spot Run
2467,TyreseGibson TarajiP.Henson OmarGooding VingRhames,Crime Drama Romance,singleparent intolerance condom bootlegger fistfight stepfather womanizer thief domesticviolence gunfight losangeles physicalabuse ex-con selfishness passiveaggression fatherhood convictedfelon southcentrall.a.,ColumbiaPictures NewDealProductions,UnitedStatesofAmerica,Baby Boy
2468,MinkaKelly LeightonMeester CamGigandet AlyMichalka,Thriller Drama Horror,jealousy roommate obsession campus love murder freshman student losangeles medication violence boyfriend design resentment,VertigoEntertainment ScreenGems,UnitedStatesofAmerica,The Roommate
2469,DavidSpade BrittanyDaniel DennisMiller AdamBeach,Mystery Adventure Comedy Romance Drama,parentskidsrelationship lossofparents lookingforbirthparents meteorite janitor   womandirector,ColumbiaPictures HappyMadisonProductions,UnitedStatesofAmerica,Joe Dirt
2470,Jean-ClaudeVanDamme GeoffreyLewis AlonnaShaw CoryEverson,Thriller Action Crime Drama,lossofparents karate fighter revenge hongkong twins hoodlum,StoneGroupPictures,UnitedStatesofAmerica,Double Impact
2471,SimonPegg NickFrost JimBroadbent PaddyConsidine,Crime Action Comedy,village arrest police partner murder conspiracy gunfight policeforce cowboycostume accident,UniversalPictures BigTalkProductions StudioCanal GAGA WorkingTitleFilms,UnitedKingdom,Hot Fuzz
2472,ClorisLeachman IndiaEnnenga AnnetteBening EvaMendes,Comedy Drama Romance,beautysalon divorce womandirector,NewLineCinema,UnitedStatesofAmerica,The Women
2473,ScarlettJohansson RebeccaHall JavierBardem PenélopeCruz,Drama Romance,barcelonaspain menageatrois author,TheWeinsteinCompany GravierProductions Antena3Films TelevisiódeCatalunya(TV3) Antena3Televisión Mediapro,UnitedStatesofAmerica Spain,Vicky Cristina Barcelona
2474,JoakimNätterqvist SofiaHelin StellanSkarsgård MichaelNyqvist,Action Adventure Drama Romance,tvmovie,DanmarksRadio(DR) Telepool AMCPictures TV4Sweden SFNorge MolinareStudios Yleisradio(YLE) SvenskFilmindustri(SF) Juonifilmi TV2Norge FilmiVäst SoundchefStudios ArionCommunicationsLtd. DagsljusFilmequipment ShebaFilms SandlineProduction EuropaFilmSoundProduction,Sweden,Arn: Tempelriddaren
2475,FreddiePrinzeJr. ClaireForlani JasonBiggs AmandaDetmer,Comedy Drama Romance,soulmates newlove platoniclove lovers girlfriend modelstudent friendship motherlylove studentmovie student university relationship,Punch21Productions,UnitedStatesofAmerica,Boys and Girls
2476,AlisonLohman MichellePfeiffer ColeHauser RobinWright,Drama,poison prison lossoffamily lossoffather fosterparents women'sprison familyrelationships badmother children'sservices,PandoraFilmproduktion JohnWellsProductions GaylordFilms WarnerBros. OleandorProductions,Germany UnitedStatesofAmerica,White Oleander
2477,MeganFox AmandaSeyfried JohnnySimmons AdamBrody,Comedy Horror,bloodthirstiness highschool sexualmurder horror gore slumberparty demon succubus candlelightvigil duringcreditsstinger womandirector,DuneEntertainment FoxAtomic,UnitedStatesofAmerica,Jennifer's Body
2478,DannyDeVito BetteMidler NeveCampbell JamieLeeCurtis,Comedy Crime Mystery,suspicion suspect investigation remake murder death accident dysfunctional,CodeEntertainment NeverlandFilms,UnitedStatesofAmerica,Drowning Mona
2479,WoodyAllen MiaFarrow JeffDaniels LarryDavid,Comedy Drama,beach taxidriver worldwarii radio coneyisland independentfilm workingclass binoculars cigarettegirl radioplays,OrionPictures,UnitedStatesofAmerica,Radio Days
2480,RobertPattinson EmiliedeRavin PierceBrosnan LenaOlin,Drama Romance,newyork fathersonrelationship grieving romanticdrama youngadult collegestudent 21stcentury,SummitEntertainment,UnitedStatesofAmerica,Remember Me
2481,MandyMoore TrentFord AllisonJanney AlexandraHolden,Drama Comedy Romance,womandirector,GoldenMean FocusFeatures RadarPictures,UnitedStatesofAmerica,How to Deal
2482,DanAykroyd KimBasinger JonLovitz AlysonHannigan,Comedy ScienceFiction,alien spoof sneeze levitation message,WeintraubEntertainmentGroup TheCatalinaProductionGroup,UnitedStatesofAmerica,My Stepmother is an Alien
2483,TomHanks DenzelWashington JasonRobards MarySteenburgen,Drama,gay aids homophobia jurors court partner hiv lawyer dying discrimination judiciary,TriStarPictures ClinicaEstetico,UnitedStatesofAmerica,Philadelphia
2484,CraigBierko ArminMueller-Stahl GretchenMol VincentD'Onofrio,Thriller ScienceFiction Mystery,artificialintelligence simulation computerprogram virtualreality dystopia murder losangeles,ColumbiaPictures CentropolisFilmProductions,UnitedStatesofAmerica,The Thirteenth Floor
2485,JaRule TimMeadows JeniferLewis JonathanSilverman,Comedy Drama,comedy,CookoutProductions,UnitedStatesofAmerica,The Cookout
2486,SeanConnery NatalieWood KarlMalden BrianKeith,Action ScienceFiction Thriller,meteor disaster disasterfilm disastermovie,PalladiumProductions AmericanInternationalPictures(AIP) MeteorJointVenture,UnitedStatesofAmerica,Meteor
2487,GwynethPaltrow ScottSpeedman MariaBello PaulGiamatti,Comedy Drama Music,musical,HollywoodPictures BeaconPictures SevenArtsPictures,UnitedStatesofAmerica,Duets
2488,WoodyAllen GeorgeHamilton TéaLeoni DebraMessing,Comedy Drama,blindnessandimpairedvision creativecrisis filmdirector,DreamWorksSKG,UnitedStatesofAmerica,Hollywood Ending
2489,GiuseppeAndrews JamesDeBello EdwardFurlong SamHuntington,Comedy Music,parentskidsrelationship kiss independentfilm youth drug detroit,NewLineCinema Base12Productions CorrupterProductionServiceLtd. TakomaEntertainment KISSNation,UnitedStatesofAmerica,Detroit Rock City
2490,ChristopherLambert RoxanneHart ClancyBrown SeanConnery,Adventure Action Fantasy,newyork scotland swordplay sword cut-offhead immortality,Davis-PanzerProductions ThornEMIScreenEntertainment,UnitedKingdom UnitedStatesofAmerica,Highlander
2491,HalleBerry BeniciodelToro DavidDuchovny AlisonLohman,Drama,sadness lossoffather junkie luxury heroin beauty charity funeral widow lossofhusband ersatz bestfriend womandirector,DreamWorksSKG NealStreetProductions DreamWorksPictures ProvinceofBritishColumbiaProductionServicesTaxCredit,UnitedStatesofAmerica,Things We Lost in the Fire
2492,ShaquilleO'Neal AnnabethGish RichardRoundtree JuddNelson,ScienceFiction Action Adventure,dccomics losangeles soldier military,QuincyJones-DavidSalzmanEntertainment WarnerBros. DCEntertainment,UnitedStatesofAmerica,Steel
2493,MarionCotillard JeremyRenner JoaquinPhoenix DagmaraDomińczyk,Drama Romance,newyork corruption sistersisterrelationship magic immigrant nudity nightmare ship quarantine love murder money escape doctor prostitution poland illness,KingsgateFilms WorldviewEntertainment,UnitedStatesofAmerica,The Immigrant
2494,RalphFiennes NatashaRichardson HiroyukiSanada LynnRedgrave,Drama History Family Romance,,SonyPicturesClassics ShanghaiFilmGroup MerchantIvoryProductions,China Germany Russia UnitedKingdom UnitedStatesofAmerica,The White Countess
2495,JamesMcAvoy VincentCassel RosarioDawson MattCross,Thriller Crime Drama Mystery,amnesia artthief hypnotism heistmovie duringcreditsstinger,CloudEightFilms Pathé DecibelFilms Film4,UnitedKingdom France,Trance
2496,TomArnold KevinHart MethodMan SnoopDogg,Romance Comedy,blackpeople hip-hop nightclub airplane chaos champagne,Metro-Goldwyn-Mayer(MGM),UnitedStatesofAmerica,Soul Plane
2497,KadMerad DanyBoon ZoéFélix LorenzoAusilia-Foret,Comedy,clocktower jealousy cheating provence lie southernfrance postman flush mama'sboy bias localspeciality jobtransfer northernfrance disabled dialect,CentreNationaldelaCinématographie TF1FilmsProductions PathéRennProductions Hirsch Canal+ CinéCinéma RégionNord-Pas-de-Calais LesProductionsduChicon CentreRégionaldesRessourcesAudiovisuelles(CRRAV),France,Bienvenue chez les ch'tis
2498,ViggoMortensen JasonIsaacs MarkStrong StevenMackintosh,Drama,germany nazis nazism euthanasia,,Germany UnitedKingdom,Good
2499,NathanielBrown PazdelaHuerta CyrilRoy MasatoTanno,Fantasy Drama,prostitute hallucination stripclub afterlife surrealism drugtrip unsimulatedsex incest drugdeal psychedelic dmt newfrenchextremism drugs,BIMDistribuzione WildBunch,Canada France Germany Italy,Enter the Void
2500,AliciaSilverstone KrystenRitter SigourneyWeaver RichardLewis,Comedy Romance Horror,vampire love womandirector,LuckyMonkeyPictures RedHourFilms,UnitedStatesofAmerica,Vamps
2501,RichardGere JoanAllen JasonAlexander Cary-HiroyukiTagawa,Drama Family,japanese loyalty humananimalrelationship friendship friends familyrelationships dog newspaperreporter familydog waiting,GrandArmyEntertainment ScionFilms InfernoDistribution Stage6Films Hachiko OppermanVinerChrystynEntertainment,UnitedKingdom UnitedStatesofAmerica,Hachi: A Dog's Tale
2502,OrlandoBloom ForestWhitaker ConradKemp IngeBeckmann,Crime Drama Thriller,,Eskwad M6Films Canal+ Pathé Ciné+ LobsterTree W9,SouthAfrica France,Zulu
2503,HilarySwank TommyLeeJones GraceGummer MerylStreep,Western Drama,dancing basedonnovel revenge nativeamerican violence wildwest driveninsane abusivemarriage refusedservices prisonwagon lostinthedesert buffaloskin,TheJavelinaFilmCompany EuropaCorp IthacaPictures,France UnitedStatesofAmerica,The Homesman
2504,MiguelA.Núñez Jr. VivicaA.Fox KevinPollak,Comedy Drama,sport basketball beautifulwoman hitincrotch crossdressing thestarspangledbanner,WarnerBros. MorganCreekProductions,UnitedStatesofAmerica,Juwanna Mann
2505,SimonAbkarian CharlesAznavour ChristopherPlummer ArsinéeKhanjian,War Drama,destructionofacivilization turkey,AllianceAtlantisCommunications SerendipityPointFilms EgoFilmArts,Canada France,Ararat
2506,JimCaviezel JakeLloyd MaryMcCormack BruceDern,Action Adventure Drama,sport independentfilm,,UnitedStatesofAmerica,Madison
